recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227635524,2605790,russian,"Здесь можно нах@ячиться пивом, пока ваш друг делает присед. Представьте, раньше, чтобы выпить нужно было заплатить кровные злоты, а теперь, имея друга качка, можно пить пиво БЕСПЛАТНО! Ещё и его кружку выпить не грех, сказка. Ой, пьяным можно на миссию загрузиться...",True,1,0,0.5,2057,10,1781093884
227625015,2605790,russian,"Приятно видеть, что, судя по новостям, разработчики прислушивается к отзывам. Скала и Камень!",True,1,2,0.5,1188,10,1781080268
227623177,2605790,russian,"Нашли баг? Игра кажется сырой? Не оправдали ожидания? Так это ранний доступ, для которого геймплей уже прекрасен, алло. Всем дворфам rock and stone!",True,3,3,0.524224460124969482,1877,2,1781078325
227622647,2605790,russian,"Божественно, не понимаю нытьё по поводу того, что рандомы забирают ваш выбор. Камон, из любой пушки можно собрать шикарный билд. Rock and Stone, reclaimers!",True,3,1,0.500841081142425537,4904,4,1781077592
227603453,2605790,russian,"Мне нравится, жду когда наполнят игру контентом.",True,1,1,0.5,1859,148,1781049645
227581705,2605790,russian,"Ну это же просто разнос, ребят. Тут добавили становую... я eb@l ребят, да этож круто ну! Тут можно делать присед со штангой.. гайс, я просто захожу сюда и выполняю свою тренировочку 6x10. Расписание - понедельник среда пятница. Тут даже сгибания на бицепс есть.. Ну если считаете, что это не игра года, то мне вас жаль... МАААХИ МАХИ гантелями. Где я еще могу делать махи гантелями, ребят... Ну игра года, игра года очевидно. ТУТ ЕЩЕ И ИЗ ХАБА МОЖНО В МИССИЮ ВОЙТИ??!?",True,0,0,0.491039007902145386,2071,24,1781027378
227580375,2605790,russian,абсолют ядро,True,0,0,0.491039007902145386,224,1,1781026188
227574202,2605790,russian,"Сама по себе игра достаточна интересна, особенно для фанатов drg, но как у абсолютно любого проекта у нее есть свои плюсы и минусы. Плюсы: [list] [*] Привычная и желанная разрушаемость карты, если хочешь, вскопай абсолютно все [*] Немалый арсенал из доступных оружий, как старых, так и новых [*] Хорошая вариативность врагов и приятно высокая сложность [/list] Минусы: [list] [*] Основной проблемой игры, особенно на этом этапе, является ее пустота, с одной стороны есть что делать, но с другой все довольно быстро становится однообразным [*] Спорная прокачка оружий внутри миссий. Бесспорно, они пытались реализовать базовый атрибут всех рогаликов - повышение статов чтобы бить сильнее, но без старых добрых оверклоков, до ужаса изменяющих оружие, оно кажется бессмысленным. [*] Персонажи почти ни чем не отличаются. Хоть визуально они сильны постарались над модельками персонажей, попытались сделать уникальные навыки для них, оно все кажется бессмысленным, как будто некого рода заглушка. В первой же части, было всего 4 класса, но каждая роль имела свою четкую задачу, для которой она подходила лучше всего, тут же способности по типу: высрать ящик патронов, сделать широкий удар ближнего боя, короткий рывок. [*] Мелкие визуальные баги, кривые перемещения тварей ядра. [/list] [hr][/hr] Теперь о самом важном, стоит ли вообще брать игру. Краткий ответ - да, но не сейчас. Понятное дело, что тут возникает ситуация, аналогичная релизу payday3: с одной стороны у тебя до ужаса старая игра, но обладающая тонной контента, с другой стороны новоиспеченный, отполированный проект, но без какого бы то ни было наполнения. Вероятно через тройку месяцев, ситуация может сильно измениться, но на данный момент, оно того не стоит",True,0,0,0.491039007902145386,1285,13,1781021048
227566426,2605790,russian,лучший симулятор ожидания слайсера-аутиста что бы открыть кейс с оружием.   10 махов гантелей в стороны из 10,True,0,0,0.491039007902145386,4425,2,1781014611
227560049,2605790,russian,"Уже неплохо и надеюсь они продолжат улучшать игру. Из плюсов можно сделать женщину дворфа с усами, прям как в реально жизнь.",True,0,0,0.468055665493011475,3063,2,1781008230
227541106,2605790,russian,неплохо,True,0,0,0.491039007902145386,869,5,1780984232
227513265,2605790,russian,"Не доверяйте листолюбам, делающий плохие отзывы, лучше самостоятельно попробуйте игру, за 2 часа вы успеете сделать выводы, нужна ли вам игра за 1000 рублей в раннем доступе или нет. Я не привычный игрок в Deep Rock Galactic, я в ДРГ наиграл в соло 350 часов, в Rogue Core я пришёл со своим прекрасным товарищем, играть было приятно, мы понимаем, что игра имеет не мало противных багов, ПРОСТО потому что игра в РАННЕМ доступе, вы хоть знаете, что это такое? Про оптимизацию: она приемлемая, хуже чем в ДРГ, но и игра ПОВТОРЮСЬ в раннем доступе. ДРГ не для слабого железа, имею на своём железе стабильные 120 фпс, изредка, когда слишком много ядророждённых и спецэффектов, бывают просадки до 40, было три раза за все часы геймплея на данный момент. Если у вас компьютер хороший или даже лучше моей сборки, а вы имеете меньше фпс, иди снеси винду и почисти компьютер и настрой нормально комплектующие с ним. Не хочешь - лечись",True,0,0,0.476190477609634399,1171,7,1780948743
227507697,2605790,russian,"Мне понравилось, что при моем ахуенном интернете эта игра вылетает и я ♥♥♥♥. С уважением Лев Игоревич По скрипту",True,0,0,0.5,190,7,1780944151
227506178,2605790,russian,"ну умат умат, в соло сложно очень даже в дуо, бывают фризы не частые но игра только недавно вышла по этому еще исправят ( наверное )",True,0,0,0.5,414,16,1780942887
227504965,2605790,russian,,True,0,0,0.5,666,12,1780941860
227499951,2605790,russian,Игра на пару часиков,True,0,0,0.5,5061,14,1780937579
227498343,2605790,russian,"♥♥♥♥ самый лучший симулятор бухателя пива, и качка, просто ♥♥♥♥♥♥♥♥ геймплей!",True,0,0,0.5,301,2,1780936229
227497907,2605790,russian,Лучший симулятор GYM качалочки. А когда покачаешься можно бахнуть бочку любименького Blackout staut'а. 11/10 выбуханных бочек с пивом и бабкин вареник.,True,1,0,0.523809552192687988,287,10,1780935852
227493536,2605790,russian,conquered. get. off. the. road. cleaner bot.,True,0,1,0.5,2650,9,1780931907
227490805,2605790,russian,Я готов что-угодно простить этой игре из-за музыки,True,1,0,0.497925341129302979,634,40,1780929513
227485263,2605790,russian,SIX SEVEN,True,0,1,0.434782594442367554,4308,4,1780924033
227480386,2605790,russian,"Во первых - Игра хорошая, но очень сырая. Здесь нет как такого баланса, если в начале на 4 глубине тебе падает на выбор 3 пистолета и из ящика из снаряжения не падает ничего путёвого, то можно смело перезапускать забег. Таймер уж слишком сильно душит, если потратить много времени на убийство роя, то уже подходит другой, а ведь тебе нужно ещё выполнить задания на разведанные, не забивая на добычу экспанита с выполнением мини событий. Боссы легкие, ведь ты если до него дошёл, то его легко убить.    Во вторых - меня бесит то что здесь псевдо рандом, ведь если быстро умереть и зайти опять на карту туже, то всё будет идентично вплодь но выпадения навыков и начального оружия.    В третьих - оптимизация здесь не очень, здесь так такого отличия по графике нет от обычного дип рока, да и не вижу ничего чтобы систему нагружало, но фпс здесь на порядок меньше чем в оригинальной игре.    В четвертых - Здесь нет активных способней как в дип роке, только класовые способности и пасивки и древа навыков. Не забываем про бесполезность брони, на высокой сложности её не прокаченную ломают с 2 ударов, а регенить хп можно только от сахара, ведь соплайки восстанавливают только бесполезную броню. А как же соплайки точно, я не знаю почему они сделали такую систему что нужно искать патроны, а не доставлять их с орбиты. Можно допустить что слишком глубоко, но в дип дайве можно было запрашивать их, значит это просто условность, хотя сильной в нужде в патронах не часто испытываешь.    Так, ну я сбился с темы. Игра мне нравится, сырая, баганая, да и несбалансированная. Но не будем забывать что это ранний доступ, дип рок тоже не с самого начала был идеален, так что давайте подождём пол года - год и увидим результат.    P.S. Если конечно разрабы из за ваших глупых негативных отзывов с 0 часами геймплея по типу: ""АААА ЖЕНЩИНА"" Не забросят игру(Хотя наврядли)",True,1,1,0.52173912525177002,1306,7,1780918604
227479957,2605790,russian,"Игра - ГОВНО, в ней есть дворфы без бороды и даже женщины, что отвратительно.   А вот в мое время каждый дворф был обязан ходить с большой, густой и уложенной бородой, а пиво было бесплатным. Каждый день мы напивались в хлам, а если ты хотел весело провести время  то ты не мог определить мужчина это или женщина, поэтому нужно было целовать в губы и разбираться по ходу дела, кто есть кто.  /me шлепнул по жопе Молли",True,2,0,0.545454561710357666,209,10,1780918044
