recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227645625,632360,english,very fun solo or with frnds,True,0,0,0.5,265,2,1781104131
227639520,632360,english,beautiful.,True,0,0,0.5,1594,13,1781098358
227634781,632360,english,nice game,True,0,0,0.5,2398,29,1781093007
227633742,632360,english,Game is really well done and fun to play. Developer went to Valve to create Deadlock.,True,0,0,0.5,207,12,1781091736
227632412,632360,english,yes,True,0,0,0.5,2822,7,1781090014
227629442,632360,english,PEAK   great gameplay and 10/10 sound track also DON'T listen to your friends when they tell you to gamble,True,0,0,0.5,357,1,1781086205
227625237,632360,english,this game is very gooood,True,0,0,0.5,6696,3,1781080482
227625225,632360,english,"great game, getting sold to gearbox didnt degrade it since just playing the old sotv release is still possible and apart from that gearbox did make a good effort to fix their ♥♥♥♥♥♥♥ first dlc release",True,1,0,0.523809552192687988,27349,10,1781080467
227620322,632360,english,w,True,0,0,0.5,8972,1,1781074581
227620141,632360,english,awesome i think,True,0,0,0.5,11468,11,1781074337
227617121,632360,english,"A very addicting game with very engaging mechanics  Basically, you get a very good run feeling unstopable when suddelny you die because of a flying fluffy thing that gave you aids  Solid gameplay, you WILL want to keep going and not kill the final boss  10/10",True,0,0,0.5,13348,11,1781069782
227616886,632360,english,cool beans,True,0,0,0.5,1296,9,1781069433
227615469,632360,english,gud,True,0,0,0.5,5213,3,1781066996
227610069,632360,english,"there is in fact, a possibility of percipitation...",True,0,0,0.5,1218,1,1781059102
227607360,632360,english,too much rain dont risk it,True,0,0,0.5,3354,4,1781055255
227607264,632360,english,More fun with friends.,True,1,0,0.523809552192687988,1814,19,1781055100
227600594,632360,english,very good game yes,True,0,0,0.5,1266,3,1781045973
227600537,632360,english,Probably the best rougelite I have ever player. The wide variety of characters and items really makes every run feel unique.,True,0,0,0.5,4108,8,1781045913
227598566,632360,english,I like risking my rain 2,True,1,0,0.52173912525177002,4387,12,1781043657
227597493,632360,english,nothing but pure joy,True,0,0,0.5,2812,6,1781042487
227595094,632360,english,Peak fr. Can run with potato pc/laptop so another W. Good replayability and tons and tons of content even w/o DLC. The DLCs are also peak.,True,0,0,0.5,2400,7,1781039718
227594161,632360,english,Absolute cinema of a game,True,1,0,0.523809552192687988,4718,2,1781038851
227590672,632360,english,fun,True,0,0,0.5,4896,18,1781035549
227590445,632360,english,high chance of precipitation the sequel,True,0,0,0.5,3293,4,1781035347
227588494,632360,english,good game,True,0,0,0.5,1053,2,1781033585
227588451,632360,english,low-key fav game,True,0,0,0.5,7627,8,1781033541
227582132,632360,english,"maybe the real risk, was the rain we made along the way",True,0,0,0.5,2486,8,1781027737
227581458,632360,english,this game is absolute peak expirence,True,0,0,0.5,3718,1,1781027140
227578633,632360,english,Yeah its pretty good I suppose  (would be better if my music wasn't broken by a mod installer that I NO LONGER HAVE ON MY SYSTEM IN ANY WAY),True,0,0,0.5,12072,4,1781024826
227577541,632360,english,I LOOOOVVVEEE LOADER. BUT I CANT USE HIM BECAUSE IT MAKES ME FAT.,True,0,0,0.5,3111,8,1781023896
227574427,632360,english,Mercenary was indeed ethereal.,True,0,0,0.5,6133,28,1781021239
227563934,632360,english,im ass but game is peak,True,0,0,0.5,5882,1,1781012226
227562724,632360,english,I touch myself to acrid 10/10 would recommend,True,0,0,0.5,14660,6,1781011031
227560330,632360,english,good,True,0,0,0.5,1558,5,1781008529
227545228,632360,english,"there is never a bad time to play this game, and I personally always enjoy playing a run every now and then. still holds up incredible",True,0,0,0.5,8958,6,1780991072
227542858,632360,english,This truly was...   Our Risk of Rain 2.,True,1,0,0.52173912525177002,7719,6,1780987331
227542332,632360,english,"Its lowkey kinda bussin, if i had to pick between going to ohio or playin this i would def play this on walahi",True,0,0,0.5,9570,13,1780986416
227541649,632360,english,"one of the best games roguelikes out there, so much content and characters, challenges galore, i think the dlcs are worth it, they add more of everything, i used to play it on xbox, but i play mostly pc nowadays so i repurchased it on steam and is re-unlocking everything again and having fun.   it runs well on my machine, actually better than it did on my series x too. i play mostly solo so idk how the coop is, ive wanted to play coop i just dont know anyone.  My runs vary between one shot god to tripping over a root and ending my run very early. Ive not died in a way where ive said ""f this"" and stopped playing. plus there are things you can unlock that make runs very crazy to easy depending on the situation.   im happy the devs keep releasing more dlc, its nice to see a game being supported for this long",True,0,0,0.5,1841,82,1780985152
227537407,632360,english,SPACE,True,0,0,0.5,1184,5,1780978156
227536565,632360,english,I think i like this game,True,0,0,0.5,39758,3,1780976825
227534450,632360,english,I fell in love with this game's franchise. This franchise made me want to play games again. It was a beautiful experience. Everybody must play this.,True,2,0,0.52173912525177002,3132,23,1780973690
227532640,632360,english,she ATG Missile on my Triple ICBM till I 57 Leaf Clover,True,1,1,0.523809552192687988,15642,17,1780971041
227531687,632360,english,Bussin,True,0,0,0.5,1102,33,1780969680
227531476,632360,english,super,True,0,0,0.5,3366,4,1780969390
227530745,632360,english,hell yeah brother,True,0,0,0.5,5352,18,1780968393
227530142,632360,english,"very good game, buff commando.",True,0,0,0.5,56096,3,1780967559
227529447,632360,english,AWESOME,True,0,0,0.5,1181,11,1780966584
227529280,632360,english,Risk of Bug 2 Risk of Bug 2: Survivors of the Fixes Risk of Bug 2: Seekers of the Mods Risk of Bug 2: Crash Collection Risk of Bug 2: Hollowed Support,True,1,0,0.523809552192687988,5152,9,1780966363
227526158,632360,english,"great replayability and really fun to play, especially w/ friends. can be hard but the difficulty is very easily adjustable, even moreso w/ artifacts. generally satsifying, my only gripe would be that there's not rly a save functionality for runs, which can take like 30m+ -- but pretty sure there are solid mods for that.",True,0,0,0.5,2065,3,1780962225
227524170,632360,english,And his music was... Electric,True,0,0,0.5,11678,20,1780959719
227523111,632360,english,i like this game,True,1,0,0.52173912525177002,5643,14,1780958450
227522531,632360,english,"Defined the gold standard for 3D roguelikes, backed with a soundtrack by Chris Christodoulou it is perfection.",True,0,0,0.5,6549,22,1780957787
227522010,632360,english,"I love it when developers take a second shot at their original concept and take it to new levels. The music, the level design, the gameplay, the aesthetic: Everything here is like the original experience on steroids. SO FUN!",True,0,0,0.5,9890,9,1780957199
227521674,632360,english,Its alright,True,0,0,0.5,101,10,1780956851
227518290,632360,english,I DO NOT KNOW WHY BUT I AM ADDICTED TO THIS GAME PLEASE SEND HELP,True,0,0,0.5,1941,11,1780953303
