recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227622302,632360,russian,*=*,True,0,0,0.5,4543,3,1781077058
227597860,632360,russian,Это хорошо,True,0,0,0.5,3008,1,1781042921
227593039,632360,russian,᠌᠌ ᠌ ᠌ ᠌ ᠌ ᠌,True,0,0,0.5,1047,13,1781037796
227588105,632360,russian,рискни намокнуть,True,1,0,0.523809552192687988,4674,1,1781033245
227584412,632360,russian,хорошая игра если не знать о ней и не играть в неё,True,1,0,0.523809552192687988,18800,3,1781029899
227581927,632360,russian,нет,True,0,0,0.5,2137,37,1781027561
227578200,632360,russian,Создал билд на 50 буйногрибов и стал Invincible,True,0,0,0.5,1073,4,1781024453
227519194,632360,russian,гуд гаме ай лайк ит фак гап,True,0,0,0.5,6516,3,1780954231
227502313,632360,russian,Хороший рогалик,True,0,0,0.5,232,2,1780939586
227498773,632360,russian,"bv,f buhf",True,0,0,0.5,929,2,1780936568
227481026,632360,russian,.,True,0,0,0.5,1218,3,1780919461
227436689,632360,russian,да,True,0,0,0.5,11257,2,1780861969
227431672,632360,russian,Самый лучши рогалик,True,1,0,0.523809552192687988,6784,2,1780858091
227431416,632360,russian,pretty cool.,True,0,0,0.5,499,26,1780857915
227431399,632360,russian,игра классная а разраб даун,True,0,0,0.5,8933,9,1780857897
227428387,632360,russian,"убил босса, умер от жёлтого мяча с заморозкой",True,0,0,0.5,2893,1,1780856411
227426462,632360,russian,Прикольная шняга если вы любитель рогаликов,True,0,0,0.5,2482,1,1780855027
227424727,632360,russian,эгье,True,0,0,0.5,728,1,1780853623
227419323,632360,russian,"ахуен долбятся в жопу, мне нравится",True,0,0,0.5,5670,1,1780849413
227412941,632360,russian,хорошая игра!,True,0,0,0.5,2664,1,1780844455
227407991,632360,russian,"пойдет, только лагает после сбора большого кол-ва предметов",True,0,0,0.5,3183,6,1780840636
227404831,632360,russian,имба,True,0,0,0.476190477609634399,233,5,1780837971
227396609,632360,russian,the best way to waste your time,True,1,0,0.514925360679626465,2306,3,1780830666
227389246,632360,russian,Топчик. с DLC еще интереснее,True,0,0,0.5,6746,10,1780822997
227387709,632360,russian,"круто, хардкорно, бунгусы",True,1,0,0.523809552192687988,5512,3,1780821327
227382220,632360,russian,НЕ апайте исчадие пустоты,True,0,0,0.5,838,1,1780814770
227350591,632360,russian,норм,True,0,0,0.5,2582,13,1780778774
227330099,632360,russian,good game 10/10,True,0,0,0.5,7795,1,1780762332
227330086,632360,russian,10/10 лагов,True,0,0,0.5,3891,2,1780762321
227329066,632360,russian,yay i REACHED I SEE YOU,True,0,0,0.5,616,1,1780761517
227321824,632360,russian,На любителя,True,0,1,0.5,174,18,1780755901
227317687,632360,russian,Норм времяубивалка,True,0,0,0.5,426,3,1780752366
227314040,632360,russian,самый лучший рогалик в который я когда либо играл,True,1,0,0.523809552192687988,916,3,1780749112
227306758,632360,russian,весело,True,0,0,0.5,4532,2,1780741781
227306652,632360,russian,геноцид,True,0,0,0.5,8824,12,1780741648
227246866,632360,russian,"один из лучших рогаликов, советую всем, еще бы разраб сделал игру доступной для рф",True,0,0,0.5,3660,1,1780678471
227237746,632360,russian,умирать,True,0,0,0.5,1052,1,1780670603
227231700,632360,russian,крутая графика персонажи локации предметы геймплей хороший,True,0,0,0.5,2554,1,1780665072
227217996,632360,russian,"Сколько бы раз ты не проходил сезон дождей,все вспомнят как ты вьебал на дождике",True,0,0,0.5,7831,3,1780647961
227216408,632360,russian,Лагает - имба,True,0,0,0.5,3133,5,1780645842
227195974,632360,russian,ВАП,True,0,0,0.5,1039,9,1780616290
227187697,632360,russian,Гигантская атмосфера банановых равнин,True,0,0,0.5,913,2,1780606929
227184893,632360,russian,ДА,True,0,0,0.5,1275,42,1780604300
227182321,632360,russian,круто,True,1,0,0.523809552192687988,33,11,1780602030
227180312,632360,russian,крутой рогалик мне он нравится,True,0,0,0.5,11430,1,1780600322
