recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227645326,250900,russian,"♥♥♥♥♥, а не игра",True,1,0,0.523809552192687988,7370,5,1781103880
227635688,250900,russian,Ужасно обожаю эту игру.,True,0,0,0.5,2070,2,1781094067
227634877,250900,russian,[h1] isec [/h1],True,0,0,0.5,13278,6,1781093131
227633202,250900,russian,детство Габена,True,0,0,0.5,10030,5,1781091021
227630242,250900,russian,r key,True,0,0,0.5,897,14,1781087022
227627242,250900,russian,пуки каки какашки пуууп,True,0,0,0.5,1819,2,1781083454
227625593,250900,russian,"Начинаешь ценить жизнь, особенно после вин стика в -235",True,0,0,0.5,51567,5,1781081092
227624552,250900,russian,"Лучшая игра в жанре рогалик, точно стоит своих денег.",True,0,0,0.5,1502,1,1781079842
227621735,250900,russian,Плакать за ребенка на какашки бывает весьма интерестно... 100 какашек из 10,True,0,0,0.5,834,1,1781076337
227609449,250900,russian,игра круто,True,0,0,0.5,2491,1,1781058225
227604301,250900,russian,самые позорные смерти у меня только в этой прекрасной игре,True,0,1,0.5,15023,1,1781050877
227597853,250900,russian,Жрать говно,True,0,0,0.5,3134,1,1781042916
227595081,250900,russian,рофло игра не понял смысла типо жрать дерьмо те кто в нее играют на серьезе не моются,True,0,0,0.5,49187,2,1781039709
227591525,250900,russian,игра по поедание какашек,True,0,0,0.5,2951,1,1781036361
227588243,250900,russian,"игра очень крутая, у гг все получается, мама кормит\любит",True,0,0,0.5,855,1,1781033370
227585275,250900,russian,имба за 50 часов только 4 раза смог убить сердце мамы,True,0,0,0.5,3825,1,1781030670
227585168,250900,russian,моя мать жирная магда и я хочу её убить,True,1,0,0.523809552192687988,461,1,1781030562
227584894,250900,russian,лайк,True,0,0,0.5,39,1,1781030331
227584512,250900,russian,uhh i mean kinda ok game idk,True,0,0,0.5,38375,12,1781029982
227584262,250900,russian,На пару вечеров сойдёт,True,0,0,0.5,30186,18,1781029761
227584082,250900,russian,мне нравится в этой игре бегать в виде говно и всё убивать с одной пули,True,0,0,0.5,658,2,1781029598
227582211,250900,russian,эта игра великолепна,True,0,0,0.5,3469,3,1781027819
227579568,250900,russian,"игра имба, но чтобы не переплачивать и купил игру и удалил некотырые файлы связаные со стим и скопировал это все потом вернул за игру деньги и все можно спокойно играть",True,0,0,0.5,8,2,1781025492
227579141,250900,russian,У меня развилась арахнофобия и появилась тяга в говну. Всем желаю того же!!! ИГРА ТОП,True,1,0,0.523809552192687988,619,8,1781025157
227570058,250900,russian,f[eeyyj,True,0,0,0.5,2530,2,1781017580
227566162,250900,russian,2343242,True,0,0,0.5,13033,23,1781014363
