recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227643912,1086940,russian,Классика и этим все сказано,True,0,0,0.5,3613,5,1781102630
227637267,1086940,russian,Ништяк,True,0,0,0.5,2369,3,1781095857
227632970,1086940,russian,Это ♥♥♥♥♥♥,True,0,0,0.5,6525,24,1781090719
227627370,1086940,russian,gbplfnj,True,0,0,0.5,1968,1,1781083646
227627229,1086940,russian,"БРО, БАЛДУРС ГЕЙТ КАК ПЕРВАЯ ЗАТЯЖКА В 7 КЛАССЕ: ТЕБЯ УНОСИТ ЧАСОВ НА 300+ И ПОТОМ ТЫ ВСЮ ЖИЗНЬ БУДЕШЬ СКУЧАТЬ ПО ЭТОМУ ОЩУЩЕНИЮ",True,2,2,0.545454561710357666,22620,2,1781083423
227623613,1086940,russian,Прошёл игру 6 раз. Три года спустя снова играю с друзьями.,True,5,0,0.592403888702392578,23401,5,1781078860
227621233,1086940,russian,10 Минтар из 10,True,0,1,0.5,21200,5,1781075712
227619625,1086940,russian,"я думаю гра без коментарів, глічі фічі і самий швидкий рекорд по проходженню гри який варто переглянути в інтернеті - відео ютуб",True,0,0,0.476190477609634399,55,17,1781073713
227605965,1086940,russian,"Хорошая игра. Куча разнообразия и возможностей альтернативного прохождения. Для меня это первая пошаговая игра, в которую играю, и я остался доволен. Но секс-сцен маловато. Надо больше",True,0,0,0.5,3131,2,1781053219
227601925,1086940,russian,во,True,0,0,0.5,686,6,1781047608
227599995,1086940,russian,᠌᠌ ᠌ ᠌ ᠌ ᠌ ᠌,True,0,0,0.5,1908,13,1781045298
227595627,1086940,russian,Юргира жалко,True,0,0,0.5,13213,1,1781040291
227595383,1086940,russian,"Это настоящий шедевр, больше мне добавить нечего.",True,0,0,0.5,5190,4,1781040049
227587243,1086940,russian,Теперь придется и в другие игры Ларианов играть.,True,0,0,0.5,10133,19,1781032541
227579921,1086940,russian,суперр,True,0,0,0.5,4371,5,1781025808
227558563,1086940,russian,бард для даунов,True,0,1,0.5,5355,2,1781006714
227557394,1086940,russian,Топ улица из всех улиц,True,1,0,0.523809552192687988,1073,22,1781005444
227549172,1086940,russian,"Если кто-то еще не играл в балдуру, мои вам сочувствия конечно",True,0,0,0.5,6340,22,1780996061
227529333,1086940,russian,"Это первая CRPG в которую я играл, и она мне понравилась. Особенно после дос 2, бг ощущается как глоток свежего воздуха, хоть и дивинити чуть больше нравится. Игра супер масштабная, и она явно заслуживает внимание любого игрока.",True,0,0,0.5,5448,9,1780966429
227527602,1086940,russian,"Как профан в подобных играх могу заявить: ""Игра стоит каждой копейки за тот контент который даёт"". Лучше проходить с друзьями но если их нет можно и одному (придётся одному).",True,1,0,0.527777791023254395,4217,4,1780964159
227518110,1086940,russian,"Да все уже и так знают, что это шедевр 10\10. Да, когда ты знаешь основную линию сюжета, тебя можно удивить разве что отдельными репликами отдельных персонажей, но это неважно. Я никогда не играл в DnD и считал настолки уделом отмороженных задротов, но бг3 в одно лицо перевернуло мое представление о жанре.  Обалденный звук, обалденная озвучка, неинтуитивный, но приятный геймплей (не все скиллы понятны и их комбинации открываешь иногда случайно - нет, я не собираюсь искать гайды по игре), обалденный сюжет, интересные персонажи. До апгрейда ПК 3 часть вообще не тянуло, теперь хоть подышать воздухом можно.  А еще Минтара - топ тян.",True,2,0,0.517045438289642334,14413,9,1780953108
227517809,1086940,russian,Оправдывает свою цену,True,0,0,0.5,2341,5,1780952832
227515474,1086940,russian,Величайшая игра десятилетия,True,0,0,0.5,21320,4,1780950771
227514689,1086940,russian,Одна из величайших игр всей истории игровой индустрии? ДА,True,0,0,0.5,33249,7,1780950042
227511063,1086940,russian,"Что в жизни девственник, что в игре  Аналы Карсуса, Зумбо Пумбо",True,0,0,0.5,3963,2,1780946890
227497987,1086940,russian,"история о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти.",True,0,0,0.5,4292,11,1780935929
227493374,1086940,russian,"Первые 20 часов я не понимал как в это играть, потом 2-х месячное задротство  10 шкрябов из 10",True,0,0,0.5,17394,5,1780931762
227486994,1086940,russian,Прекрасный олдскул,True,0,0,0.5,16418,2,1780925848
227482469,1086940,russian,"игра не лагает, скачал и не пожалел что купил, определьонно рекомендую к покупке",True,0,0,0.5,3687,6,1780920893
227481225,1086940,russian,"Так нравится, что играть в это не могу..  Третий раз даю игре шанс, третий раз скачиваю,прохожу и понимаю, что к сожалению пошаговые стратегии не для меня, по крайней мере в соло.  10 часов в дивинити 1 - дроп  8 часов в дивинити 2 - дроп  думал балдура исправит это, нет, хоть она и лучше предыдущих вариантов - дроп.   Надеюсь я найду компаньона и в будущем засяду на часов 100 в эту игру, но пока что ДРОП.",True,2,0,0.538461506366729736,966,37,1780919731
227471503,1086940,russian,"Хорошая игра, мне понравилась.",True,0,0,0.5,14200,20,1780905664
227469442,1086940,russian,да,True,1,0,0.519230782985687256,37666,8,1780902385
227460257,1086940,russian,е====3бали медведя,True,1,0,0.52173912525177002,60,53,1780888232
227438482,1086940,russian,good game👍,True,0,0,0.5,8342,11,1780863480
227435406,1086940,russian,1,True,0,0,0.5,11192,7,1780860910
227435144,1086940,russian,заебись,True,0,0,0.5,1282,2,1780860680
227434446,1086940,russian,зе бест,True,1,0,0.523809552192687988,4304,18,1780860155
227428530,1086940,russian,1. Друг уговаривает вас поиграть в коопе.  2. Вы натыкаетесь на оргию орков.     [b] Absolute cinema [/b],True,2,0,0.542483627796173096,1500,12,1780856526
227421647,1086940,russian,Провал проверки при 99%,True,1,0,0.52173912525177002,4188,4,1780851147
227421043,1086940,russian,"графика - 8.5/10 (для игры где камера очень сильно отдалена)  сюжет - 9/10 (не хватает драмы персонажам, очень вариативный и разнообразный)  геймплей - дота2/10  механики - 10/10 (в целом, очень даже соблюдены правила пятой редакции, но с оговорками)  мир - 10/10 (очень интерактивный, много скрытых локаций и приколюх)  квесты - 8/10 (в основном, не душные и все равно за первое прохождение весь контент поглотить невозможно)  общая оценка - 8.5/10, игра стоит того, что бы в нее поиграли, если с друзьями - то еще больше",True,0,0,0.5,27137,3,1780850704
227417113,1086940,russian,супер,True,0,0,0.5,14344,2,1780847730
227401366,1086940,russian,у меня личинка в попе,True,2,0,0.545454561710357666,1082,2,1780835022
227399681,1086940,russian,njg,True,0,1,0.5,9499,2,1780833488
227397953,1086940,russian,"Baldur's Gate 3, или Врата духоты. 10 часов диалогов на 1 час боя.  Врата духоты 3: симулятор сохранения перед каждым броском кубика.  Купил RPG, получил степень по чтению диалогов.  Врата духоты 3 — игра года, если вам нравится обсуждать моральный выбор с каждым встречным.  100 часов духоты, 100 часов удовольствия.  рекомендую, 10 балдуrsoв из 10",True,0,0,0.476190477609634399,2749,21,1780831978
