recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227217814,2246340,russian,"Really fun gameplay, good visuals, a lot of small problems",True,1,0,0.466084122657775879,1900,10,1780647703
226937592,2246340,russian,123,True,1,0,0.47826087474822998,196,2,1780315938
226328734,2246340,russian,Kall,True,2,1,0.52173912525177002,2809,4,1779647107
225768449,2246340,russian,"Что могу сказать оптимизация расстраивает, но в целом игра хороша, особенно боевая система в этой части. 😁Прошёл с удовольствием.😎",True,7,0,0.576826214790344238,3708,9,1779031078
225724391,2246340,russian,"Прекраснейшая игра - жду выхода ДЛС как нового года, ведь с ним появятся новые монстры, а новые монстры это:  ✰Новая доза чистейшего удовольствия от Геноцида   ✰Новые виды для красивых скриншотов  ✰Ещё десятки часов веселья с друзьями  ✰Новые штанишки для Котёнка-Поварёнка      ✰Н̸̨̛̝̤̥̰̹̀́͝͠о̵̢͈̠̥͉̪̗̦̺̪̉̈́̿в̵̯̍ӹ̵͎͔́̈́̾̈̉͘͝͡й̸̙̼͋͗̊̐̈́̀͋̓͋ ̷̢̝͎̦͚̜̬̦̄͗̀̑͗̂͘г̷̡̰̪̥͕͉̦̹̾̈́̔̚͜͡ͅу̸̛̯͛̽̑̀̃͌͘͜л̷̠͚̣̪̰̮̳̎͆͗̅͜͝ь̸̢̖͔͎̫̯̋̇́̋́͆̔̐̕͝ͅͅф̴̤̞̮̩̎͊͋͊̐̈́̈́̃͜и̷̡̯̱͇̞̫̤̮̅̎́̆̏̚̕͝к̷̧̧̤̳͕͓̹̍̋̈́͌̋̑ ̵̨̧͓̪̲͙̭̗̯̳̾͂̽̓̄̓̾͘͘͝и̴̰͋̄͐͒̀̊͌̚з̶͙̱̺̠̪̙̅̇̅͂̐͒̾̚̚͜ ̵̩̬̮͍̩̱̹̺̉̊̈́ч̷̡̨͈͈͇͋͐͑̏͊̉͝͡͠е̸̦͕͇͙̠͒́͒̄̇͂̈́р̵̡͔̪̯̖̻̭̌̀̐е̴̮̜̼͈͓̦̭̪̿̄п̶̢̗̦̤̳̈́̓̏͘ӧ̶̨̬̪͔́̔͆͘̕͟͠в̵̛̲̯̟̪̦̹͈̹͈̔̽̓̾̉͊ͅ ̵̧̢̘̥̞̞̩͒̍̊̒̓͋̏͌̃́ͅД̷̫̜̽͘͟е̸̺̟̭̳͕̝͍͓̻͗͂́̓̒͠т̸̛͚̖̺̣͈̳̳̦̍̓̔̈́̕е̷̘͕̤̣̝̞͚͈͎͙́́й̷̝̰̞͝ ̴̨̢͓̭̝̣̾̽̏͑͒̽͌͊̍͟М̴̳̰̖͎̍̃о̴̫̳͔̲̍̅̓̇̅̕н̵̨̣̲̼̣͙̻̥̰̀̂̀̈́̀̏͛̀͝͡с̷̢͉̤̥̺̞̘̗̹̉͌̅͂т̶̮̜̘̭̲̻͗͂̄̅̈́͘р̷̺̰̦͈̫̬̲͎̹̺̂̑͗̚о̶̢̞̻̣̗̗̝̖͆̏͊̂̎͜в̸͍̝̌",True,4,3,0.529380500316619873,4621,4,1778988618
225483443,2246340,russian,"игра прекрасная,да не идеал в плане оптимизации но в плане геймплея очень хороша, но играть если  с генерацией кадров то на моем средненьком пк стабильные 100фпс на средне-высоких настройках еще артефактов пока не замечал",True,3,0,0.494658380746841431,1520,27,1778775911
224994085,2246340,russian,топ,True,1,1,0.5,3554,20,1778192107
224936600,2246340,russian,"Гораздо лучше World. Основной сюжет ведет тебя за ручку аж 18 часов и по сути является обучением. Потом идут титры, ты думаешь игра закончилась, но она только начинается. Когда выйдет Iceborn 2, наверное можно будет играть вообще бесконечно. По поводу оптимизации - играю на ультрах в 100 фпс",True,5,2,0.569366276264190674,6777,14,1778123813
224883719,2246340,russian,good game,True,0,1,0.5,872,1,1778060736
224678338,2246340,russian,база,True,0,0,0.5,1985,7,1777815587
