recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227575053,3679080,english,god,True,0,1,0.476190477609634399,9019,3,1781021762
227538877,3679080,english,love it,True,0,1,0.476190477609634399,2263,1,1780980486
227531869,3679080,english,"thought i was gonna be playing a cool game of my 2nd favorite anime, not genshin clone, i guess if you like genshin then shi download it",True,0,1,0.5,60,6,1780969989
227511338,3679080,english,WOW,True,0,1,0.476190477609634399,749,15,1780947130
227496198,3679080,english,"This is a good game for the story line, if you like 7DS, open world gameplay and a great combat system.  It has many things that need to be worked on but the dev's have shown they listen to the reviews and the content creators to help guide them in fixing the game to be better.       The grinding in the game is long and the systems to upgrade everything can be hard to figure out but there are many videos on YouTube to help you along your journey.  It is still very rewarding once you have grinded and worked toward higher progression.    All in all, I would recommend this to casual players.  The endgame is still being worked out but the game is only 2 months old.  It shows great potential.",True,0,1,0.5,2750,5,1780934255
227492046,3679080,english,Jadi,True,0,1,0.472972989082336426,14520,1,1780930615
227437535,3679080,english,"it was hard until now, after 1.5 update the game feels great. before that i was on the verge of leaving it. solid game a bit clunky in controls but overall fun.",True,0,1,0.5,20350,20,1780862653
227433363,3679080,english,I can't believe this game is free to play.,True,0,0,0.5,358,54,1780859334
227423087,3679080,english,"My First Impression of this game is just REALLY GOOD, IDK why we live in such world who decided to make it Mid rate, but I COMPLETELY deny it, I wish I could get an attention from the devs, Because I want to tell them that their Game is actually REALLY great  so I'm basicaly a genshin Player, and I regret playing this ♥♥♥♥♥ SH1T game, I which I started with The Seven Deadly Sins: Origin I will go on the game, and all the effort gaven to this game is just so FREAKING AWESOME, I will ENJOY EACH MOMENT I HOPE ONLY GOOD THINGS HAPPENS BY GOD to the Devs, and I despise this Majority Fandom community which can say Sh1t on the game . PLEASE NOTICE ME (Devs), YOU DID GREAT GUYS, THE PEOPLE RATE in this World are Just Messed up, I'm telling You.",True,0,2,0.5,314,5,1780852281
227415449,3679080,english,this is a calm good game to play,True,0,0,0.5,2632,7,1780846494
227375807,3679080,english,good,True,0,0,0.5,832,2,1780806613
227361018,3679080,english,"Any fan of Seven Deadly Sins should play this. Easy to play, easy to understand and has a decent difficulty level scale.",True,0,0,0.5,1167,2,1780788710
227324281,3679080,english,Fun gacha game,True,0,0,0.5,2563,1,1780757896
227309397,3679080,english,"absolutely love this game, don't usually play rpg games but i def recommend this to every one.",True,0,0,0.5,16424,8,1780744646
227248535,3679080,english,Just keep crashing non stop after 1.5 update,True,0,0,0.476190477609634399,11506,2,1780679889
227232612,3679080,english,Great game. Wish it had more content for end game but its still fun and the gameplay is great,True,0,0,0.5,7078,9,1780665953
227230962,3679080,english,"Before this last update it would've been a maybe, as long as you like everything you do being time gated by daily keys. You're still time gated by keys, but they pulled it back a bit. So now you can farm Elites for gear and weapon specific upgrades, at the very least.  Just know it's very much a gacha grind or die game. But it's F2P, pretty, and the combat is quite visceral and complex.  There's lots of pretty and cute things to collect. You can feed the Hawk mount you get to unlock other mounts, which is adorable, I googled it to find the recipes and the MantaHawk is adorable and doesn't take much effort to get.  Overall it's a game I'll definitely keep coming back to play for a bit, since the smooth-brains destroyed the global economy.",True,0,0,0.5,3037,93,1780664307
227204412,3679080,english,Is good,True,1,0,0.481127113103866577,1699,3,1780627675
227197572,3679080,english,This is a fantastic free to play game!!!!! I have had a great time wondering around with friends,True,1,0,0.481127113103866577,1006,33,1780618318
227182431,3679080,english,very fun and addictive,True,1,0,0.481127113103866577,19033,6,1780602114
227175819,3679080,english,it is a great game,True,0,0,0.479704797267913818,5009,1,1780596874
227166681,3679080,english,toppertje,True,0,0,0.467263996601104736,9919,1,1780588983
227156699,3679080,english,this is perfect for me,True,0,0,0.467263996601104736,704,9,1780579993
227124279,3679080,english,I love it very fun to play. I do hope after a while they add a hero selection chest for event heros that would be nice. only prob it has is to roll for heros like if i use all my rolls on a event and another happens im like >:( and then theres no other way to get more rolls enless i buy. but on the bright side very fun i hope it adds that stuff and does somthing about it,True,0,0,0.486499100923538208,4171,1,1780532631
227122424,3679080,english,"Seven deadly Sins Origin has been fun, but has had some bumpy moments like pretty much all live service games I’ve ever played. What I will say is the game has been moving consistently in a positive direction.",True,0,0,0.486499100923538208,16774,3,1780530113
227076888,3679080,english,sate sate sate,True,0,0,0.486499100923538208,3720,5,1780482499
227060111,3679080,english,Yes,True,1,0,0.486499100923538208,319,2,1780455668
227028452,3679080,english,"It's not as flashy as Genshin/ArknightsE/NtE but the gameplay more than makes up for it. Not a big fan of the series so can't comment on that, but the story in the game is not ~terrible. Characters are decently balanced though I'll admit it's still early and there hasn't been time for power creep yet. Combat is really really good. A good bit of grind to build out characters but that is every single gacha ever (I've played a buuunch of them). World exploration is top notch. Animations and artwork are mid to decent... acceptable I guess I'd say. What really takes the cake in this game is the co-op. Full co-op in world exploration, questing, bosses, dungeons, the whole nine! By far the best co-op out of any gacha that I know of. Grab some friends and have a blast.",True,4,2,0.516265749931335449,23159,14,1780421263
227008082,3679080,english,nice,True,0,0,0.479704797267913818,21969,1,1780400765
226990042,3679080,english,i love this game playing with your friends is amazing and funny,True,0,0,0.5,504,2,1780371600
226967606,3679080,english,rwf,True,0,0,0.495283037424087524,1932,1,1780344643
226958632,3679080,english,a,True,0,0,0.495283037424087524,3535,5,1780337049
226940198,3679080,english,YOU SHOULD PLAY. IT IS FUN AND HELPFUL,True,0,0,0.495283037424087524,4234,2,1780319055
226928804,3679080,english,donkey,True,0,0,0.47191011905670166,606,3,1780303260
226920681,3679080,english,its cool,True,0,0,0.495283037424087524,911,1,1780289396
226858832,3679080,english,Great,True,0,0,0.459349215030670166,8621,1,1780229236
226856615,3679080,english,"Typical anime open world, this is just the only one I was able to get into.",True,0,0,0.495283037424087524,1681,4,1780226988
226823734,3679080,english,i love the seven deadly sins and the animation is really good!!! hope for more games of the seven deadly sins,True,0,0,0.495283037424087524,1967,1,1780188197
226807765,3679080,english,I love games like this. Yes it's super grind heavy. But that's just the way these games our. You do not have to pay anything. Do the quest and explore and do the events. You will get plenty of currency.  I loved the anime. I'm glad I get to play this game. It's lovely.  If you get into his game and get mad that it's a Genshin copy. Don't play these games. They aren't for you. But some of us like the gameplay.  PLEASE STOP LEAVING REVIEWS COMPLAINING OF THINGS THAT YOU SHOULD HAVE KNOWN BEFORE THE GAME WAS EVEN DOWNLOADED.  THATS YOUR FAULT AS A CONSUMER!  i DONT BUY MINT ICE-CREAM AND THEN COMPLAIN THAT IT TASTES LIKE MINT!  This game is doing great. I can't wait to see more characters get added over time. I would really love to see Ban.,True,6,2,0.490515142679214478,3388,11,1780171846
226753573,3679080,english,"they love us! so much free gifts! so much free characters! I can't wait to have merlin on my team! She is my favorite mage! I love clotho too, but i want her paid skin but i don't want to spend. Maybe when she reruns I will try to buy again but so far i love the game! so much more fast pace! I CAN SKIP DIALOGUE! (GENSHI* COULD NEVER!!!!)",True,2,0,0.456504404544830322,9847,37,1780120166
226732125,3679080,english,best open world gacha ever also very great adaptaion from the original series unlike any other anime game,True,1,0,0.457746505737304688,22185,1,1780093004
226719196,3679080,english,"Looks cool, hopefully they'll get English VAs so I can get invested.",True,0,1,0.456431567668914795,416,62,1780080921
226687560,3679080,english,zsd&é,True,0,0,0.48913043737411499,11273,1,1780051020
226684007,3679080,english,fun,True,0,0,0.5,6008,24,1780046485
226677573,3679080,english,pretty cool game i love 7ds in general and have had this game in mind to play for ages   since netmarble did 7ds justice in 7ds grand cross i had trust in them and they didn't betray my tust at all  OVERALL:PEAK,True,7,1,0.531293869018554688,29802,5,1780036442
226671074,3679080,english,i really do enjoy the game because it was based of my favorite show i already introducing my friends into this game because it's actually reallygood but something i am very sad about is not joining early because i had missed about the escanor pick up banner which is my favorite charecter and do hope for rerun,True,1,0,0.5,1797,5,1780026143
226637055,3679080,english,Not to glaze but when i got the game i had a few doubts but since I've been playing it for 3 days straight I absolutely love this game and the draws are so easy to get who you want! Its a super easy and fun game you should try it out,True,0,0,0.476190477609634399,462,1,1779988295
226634299,3679080,english,7ds IP = play it.,True,0,1,0.5,21198,15,1779985688
226627032,3679080,english,its preaty good open world game if i say to my self,True,0,0,0.5,13103,2,1779978941
226608895,3679080,english,The fits are kinda hard icl,True,0,0,0.5,8733,1,1779956724
226559139,3679080,english,Awesome Spin-off of the original Anime. Great Game!,True,0,0,0.5,9174,3,1779898094
226554433,3679080,english,good must try,True,0,0,0.476190477609634399,2087,3,1779893703
226547984,3679080,english,I have waited so long for a genuine 7DS game...so long... WE FINALLY HAVE IT PEOPLE! Its totally free and super fun to play. i HIGHLY recommend to anyone who enjoyed the anime and to anyone who just likes a good game.,True,0,0,0.5,2733,2,1779887255
226476877,3679080,english,ÁD,True,0,0,0.5,4214,1,1779813758
226463233,3679080,english,u,True,0,0,0.5,7487,1,1779800968
226398828,3679080,english,good enough,True,0,0,0.5,8349,2,1779726560
226377563,3679080,english,Got bored will be back later,True,0,1,0.476190477609634399,312,28,1779705414
226304514,3679080,english,IT JUST SAT HERE ALL NIGHT BUT I GOT TO GO FISHING AND THAT WAS COOL,True,0,1,0.47413790225982666,1691,2,1779627342
226246922,3679080,english,"I did not like that the dialogue did not have an english option for audio, but other than that, a fun way to continue the 7ds storylines.",True,0,0,0.5,3145,1,1779562986
226190365,3679080,english,perfect and fun,True,1,0,0.492307692766189575,1130,2,1779504826
226177970,3679080,english,This is a pretty good game ngl,True,1,0,0.516129076480865479,2300,8,1779489920
226141244,3679080,english,Magnificent graphics and enjoyable gameplay,True,0,0,0.5,766,3,1779457993
226138176,3679080,english,"honestly I was enjoying the game, tried it in the beta, but when you get to about 70,000 combat class and then completely rely on draws (RNG) to get the same character to raise there potential which means if you don't have the money to put into the game good luck, you'll be grinding a while for draw tickets, I have every weapon maxed out on my favourite characters, and some I was currently working on.....because a meta team is sadly a thing, so I have to spend all the resources I have on characters I don't care about just to stand a chance at bosses that have a better drop rate for the resources I need or gear I want, I have even sadly put money into it, my honest opinion if you want time to pass and you want a chill out game yes play this, don't put money into it as in the long run it wont help, just play the game and enjoy what you can. I both recommend this game and don't recommend.",True,0,0,0.5,9751,5,1779454877
226122200,3679080,english,it is a good game so far,True,0,1,0.476190477609634399,2654,7,1779433285
226108838,3679080,english,idek just can be stoned n play 10/10,True,2,0,0.523809552192687988,214,1,1779413478
226091795,3679080,english,PEAK,True,0,0,0.5,246,10,1779393940
226079397,3679080,english,a free games can be this good is crazy.,True,0,1,0.5,342,28,1779382861
226059494,3679080,english,"This game is still in early days and has a few things that need to be tweaked, but I've really enjoyed the storyline, the gameplay and the graphics.",True,0,0,0.5,5516,1,1779363221
226056354,3679080,english,"Even after 181 hours of playing, the game is still a lot of fun. The developers have started listening to community feedback and continue to improve the gameplay from time to time. I’m really hyped to see the upcoming early June update!",True,0,0,0.5,13210,1,1779358814
226055750,3679080,english,"A nice game i would suggerst to others, the combat takes a bit to get used to since it's not so straight farward as other games.",True,0,0,0.5,1332,5,1779357898
226043662,3679080,english,Very gameplay similar to genshin impact with a few differences such as the ability to discover cooking recepies yourself via mix and match and the lore is very intriguing when you consider the anime into it.,True,0,0,0.5,1979,7,1779338491
226042998,3679080,english,i just like it,True,0,0,0.5,2197,2,1779337477
226041438,3679080,english,gooddddd gameeeeee,True,0,0,0.5,8478,3,1779335083
226038652,3679080,english,"It launched a buggy mess, but oh my god it's so fun! The boss fights are epic, and I love being able to experience my childhood dream of being able to run around Britannia.",True,0,0,0.5,1316,8,1779331072
225981126,3679080,english,but so many bug,True,0,0,0.5,13742,1,1779270537
225975180,3679080,english,norm,True,0,0,0.5,815,4,1779260111
225907399,3679080,english,"game need some fixes but is really fun, i enjoy playing it , its been 2 months i still love it",True,6,0,0.493498563766479492,43980,1,1779185924
225895508,3679080,english,This is the best coop gacha game available to play fully with friends! Love it!,True,1,2,0.5,8147,2,1779169933
225890179,3679080,english,Pretty decent gacha game. Gets grindy once you hit level 30+ but it's alright...,True,1,0,0.5,8448,10,1779161177
225886639,3679080,english,esta bueno,True,0,0,0.5,3145,1,1779156051
225884307,3679080,english,good,True,0,0,0.5,2195,1,1779152978
225878601,3679080,english,"I really like the game: I enjoy the combat styles of most characters and the visuals are appealing. My biggest issue is that the game is very unfriendly to free-to-play players. For example, it is nearly impossible for F2P players to obtain the Radiant Potion of Charm — except through the Time Space Junction or if the developers are generous; otherwise it is only available via draws or the bundle shop, which in both cases means spending money. The pets are similarly difficult to acquire, either due to low drop chances or because they simply despawn. In addition, once you have completed all content as an F2P player, you can only obtain Star Fragments through daily tasks — at only 120 per day, you need three days to afford a single draw. Overall it is a very good game, but I will most likely stop playing it soon, as many others already have.",True,0,1,0.5,13218,6,1779145551
225855251,3679080,english,time consuming,True,0,0,0.5,3288,19,1779123266
225835317,3679080,english,very good,True,0,0,0.5,6103,1,1779103584
225773902,3679080,english,Runs 60 fps but dips some times but I got Escanor so idc,True,0,0,0.5,1928,26,1779034780
225758704,3679080,english,Very fun game but has a horrible way to get keys for free to keep playing the game outside of paying a bunch of money. If the devs read these reviews give more keys out or give more ways to earn keys so people can actually play more. Once you run out of keys the game is pretty much dead. You cant progress your characters nor can u do any dung or bosses without keys.,True,0,0,0.5,10247,7,1779023925
225756413,3679080,english,i think its pretty good for a free to play,True,0,0,0.476190477609634399,88,1,1779022022
225737882,3679080,english,LION SIN ESCANOR SAMA,True,0,0,0.5,15725,1,1779003994
225712066,3679080,english,"Like gacha, like Seven Deadly Sins, so... like game 😀. Maybe more characters but else is good",True,0,0,0.5,3944,16,1778975544
225685653,3679080,english,7DS PEAK!!!,True,1,0,0.474926888942718506,788,4,1778954104
225667967,3679080,english,nice,True,0,0,0.47999998927116394,6760,40,1778941858
225661880,3679080,english,n,True,0,0,0.469798654317855835,258,6,1778937303
225657045,3679080,english,a,True,0,0,0.5,11386,1,1778933261
225634094,3679080,english,"Its fun being able to explore the world of the seven deadly sins with my friends, lots of things to do besides the main quest, controls are easy to understand, very well made game",True,0,0,0.5,7222,1,1778909572
225563956,3679080,english,fun like really fun,True,0,0,0.5,172,4,1778850783
225558988,3679080,english,THE SEVEN DEADLY SINS.,True,0,0,0.476190477609634399,20110,1,1778846507
225541128,3679080,english,"I enjoy the game very much. Don't much like not being able to get certain characters after the draw for them is gone that kind of made me lose big interest in the game as not everyone can play all the time let alone buy stuff to draw these days. But i guess i can look past that since the amount of bugs and menu freezes are insane its honestly makes upgrading gear not possible, mastery also i have froze 4 times trying to upgrade escanor's axe in the mastery tab like i'm just trying to level up and do more content but it seems every update breaks something else. i think this will have to be a more relaxed game. so sad i think this is why most gacha games dont work out well, either spend money you dont have and deal with bugs or get nothing and deal with bugs lol oh well still a fun game.",True,0,0,0.5,2183,2,1778828331
225507420,3679080,english,Best 7DS game I've played,True,0,0,0.5,495,1,1778793012
225486467,3679080,english,w,True,0,0,0.5,1324,1,1778778092
225464747,3679080,english,"Overall the game is okay, not too hard for beginner, but about the bug, i have less encounter wwith it, or just maybe this patch when I downloaded it, it already been fixed. Not knowing so much about it, but the game runs smoothly on my systems. Great game but need to polish more, I suppose. Don't get me I love the anime, but this game really need something to hype it up.",True,0,0,0.5,1727,4,1778758224
225464383,3679080,english,good graphics and story,True,0,0,0.5,4920,1,1778757762
225457925,3679080,english,love it,True,0,0,0.474452555179595947,4672,9,1778748235
225448959,3679080,english,"i like this game for now,ive noticed from other players that they experience bug but for some reason i dont and its great,i like the story and the map,everything is great",True,0,0,0.5,1872,1,1778731954
225439824,3679080,english,good game,True,0,0,0.5,3184,1,1778717830
225428470,3679080,english,it fun,True,0,0,0.5,4371,4,1778704176
225415486,3679080,english,good,True,0,0,0.5,5385,1,1778691043
225405021,3679080,english,nice game,True,0,0,0.476190477609634399,11408,1,1778679952
225399327,3679080,english,good,True,0,0,0.5,5355,1,1778672709
225396206,3679080,english,Somehow I like it.,True,0,0,0.5,1140,28,1778667932
