recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227628382,3679080,russian,копирка геншина.  +мало весит  +лучше среншина  +любимый всеми тайтл,True,1,0,0.504132270812988281,2258,5,1781085046
227507625,3679080,russian,Это слабенький клон Genshin просто в сеттинге аниме Семь грехов. Для фанатов обоих проектов :),True,0,0,0.5,178,28,1780944097
227498201,3679080,russian,Best,True,0,0,0.5,2045,1,1780936113
227345595,3679080,russian,прикольно,True,1,1,0.523809552192687988,41,9,1780774726
227171196,3679080,russian,мне все норм,True,0,0,0.5,4204,2,1780592987
227149953,3679080,russian,"На самом деле ждал игру   Я не большой фанат игр из разряда ""гачи""   Все играют в Геншин,ХСР,ЗЗЗ и прочее  Меня на такое на долго не хватало ну покрутил круто чет выбил и поиграл еще часиков 10 и сразу скип  Но тут что то совсем другое   Анимации, система крафта, скип диалогов, ну и конечно же знакомы персонажи(один из главных плюсов ведь куда приятнее играть за персонажей из тайтла которой ты смотрел а не НН тянок и фембоев)  вообщем залип почти на 100 часов   Чищу мир и не наскучивает   Нету милион однотипных побочек как в любой подобной игре   На выходе слышал много хейта из разряда ""оптимизации""   Ребят я х@й знает что у васм за пк у меня древний камень рязань 5 2600х и видюха 4060ti и все летает в 4к на высоких (это причем на жестком диске игра не на ссд)    в целом доволен  очень странно что другие не додумались так же запилить свои гачи   7 грехов кнш крутая игра но уверен будет проблема с банерами там не так много персонажей   но взяли бы любую другую тему   из банального: ванпис,наруто итд   там то персонажей столько что можно банер менять каждую неделю и этого хватит еще на несколько лет",True,1,1,0.504132270812988281,4043,44,1780572242
227134792,3679080,russian,сюжет просто отличный графика на высоте механики тоже супер кто муже игра без платная.у меня не очень сильный пк но всеровно хоть с малыми лагоми но всеровно хорошо.,True,0,0,0.5,1379,1,1780548149
227073777,3679080,russian,понравилось все,True,1,0,0.523809552192687988,3104,1,1780477876
227032149,3679080,russian,после прохождения сюжетки и фул гравировки на любимых персов неинтересно играть дальше а так круто,True,0,2,0.5,3807,3,1780424429
227021400,3679080,russian,а,True,0,0,0.5,1804,1,1780414871
226979211,3679080,russian,ждем баланс игры,True,0,0,0.5,10489,1,1780356917
226967098,3679080,russian,"Крутая игры, люди не шарят за впн))) вот и отзывы плохие, не обращайте внимание",True,1,0,0.450555890798568726,3467,1,1780344183
226955392,3679080,russian,По сути клон геншина который весит меньше и это прекрасно,True,0,0,0.476190477609634399,1491,1,1780333966
226918821,3679080,russian,ХОРОШАЯ ИГРА ЗАХВАТЫВАЕТ СОВЕТУЮ ДУМАЮ ПОНРАВИТЬСЯ.,True,1,0,0.501742184162139893,5064,1,1780286437
226769793,3679080,russian,"Хорошая игра для любителей вселенной. На баги и сырость нового проекта ноют только типы которые трогают силиконовые с**ьки и ничем кроме игр не заняты, донатят по 100к и зависят от дроча больших цифр. Если вы из этих, то соболезную, если норм человек, прост играйте",True,11,1,0.520541012287139893,10864,1,1780139589
226751524,3679080,russian,!,True,0,0,0.470479696989059448,7198,5,1780117271
226675418,3679080,russian,каеф как продолжение аниме прикольно сделано,True,0,0,0.470479696989059448,1426,15,1780032915
226645907,3679080,russian,Не игра а сказка,True,0,0,0.470479696989059448,10223,2,1779996366
