recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227683495,730,english,I've lost all sense of time,True,0,0,0.5,56795,1,1781140880
227683494,730,english,My sleep: optional,True,0,0,0.5,56384,1,1781140879
227683493,730,english,Игра с атмосферой,True,0,0,0.5,2275,1,1781140878
227683489,730,english,Better than anything,True,0,0,0.5,2290,1,1781140878
227683487,730,english,Купил ради сюжета,True,0,0,0.5,56509,1,1781140876
227683486,730,english,Игра с атмосферой,True,0,0,0.5,56886,1,1781140875
227683485,730,english,Игра для фанатов жанра,True,0,0,0.5,64130,1,1781140874
227683483,730,english,This game is my comfort,True,0,0,0.5,57025,1,1781140871
227683480,730,english,Worth every hour,True,0,0,0.5,2307,1,1781140867
227683474,730,english,Купил для коллекции,True,0,0,0.5,57951,1,1781140860
227683466,730,english,Геймплей уникальный,True,0,0,0.5,56351,1,1781140849
227683465,730,english,My life: this game,True,0,0,0.5,57682,1,1781140844
227683459,730,english,Не то,True,0,0,0.5,62182,1,1781140839
227683456,730,english,My sleep schedule: destroyed,True,0,0,0.5,57996,1,1781140838
227683455,730,english,Игра с атмосферой,True,0,0,0.5,57939,1,1781140837
227683454,730,english,Графика средняя,True,0,0,0.5,57586,1,1781140837
227683452,730,english,Слишком много,True,0,0,0.5,57691,1,1781140837
227683453,730,english,Не для всех,True,0,0,0.5,58193,1,1781140836
227683451,730,english,I've transcended,True,0,0,0.5,57917,1,1781140836
227683449,730,english,My reality: this game,True,0,0,0.5,58008,1,1781140836
227683447,730,english,Купил по совету друга,True,0,0,0.5,57544,1,1781140835
227683446,730,english,I've achieved nothing and I'm happy,True,0,0,0.5,58155,1,1781140835
227683445,730,english,Слишком долго,True,0,0,0.5,57351,1,1781140835
227683444,730,english,Купил по совету,True,0,0,0.5,58324,1,1781140835
227683443,730,english,My reality: virtual,True,0,0,0.5,57672,1,1781140835
227683442,730,english,I've found it,True,0,0,0.5,58717,1,1781140835
227683441,730,english,This game is my home,True,0,0,0.5,58185,1,1781140834
227683440,730,english,This game is my comfort,True,0,0,0.5,57435,1,1781140834
227683439,730,english,Геймплей затягивает,True,0,0,0.5,57563,1,1781140834
227683437,730,english,Не то что ожидал,True,0,0,0.5,61906,1,1781140834
227683435,730,english,Сюжет слабый,True,0,0,0.5,61683,1,1781140833
227683434,730,english,My sleep: sacrificed willingly,True,0,0,0.5,57409,1,1781140833
227683433,730,english,My everything: game,True,0,0,0.5,57431,1,1781140833
227683432,730,english,I've achieved nothing today. Perfect.,True,0,0,0.5,58103,1,1781140833
227683431,730,english,This game is my identity,True,0,0,0.5,57762,1,1781140832
227683430,730,english,My reality: better,True,0,0,0.5,57934,1,1781140832
227683429,730,english,Игра для релакса,True,0,0,0.5,57933,1,1781140832
227683428,730,english,My sleep: nope,True,0,0,0.5,62324,1,1781140832
227683427,730,english,Игра с уникальным геймплеем,True,0,0,0.5,57630,1,1781140832
227683426,730,english,Игра для души,True,0,0,0.5,57758,1,1781140832
227683425,730,english,I've found peace,True,0,0,0.5,62146,1,1781140832
227683424,730,english,This game is my home,True,0,0,0.5,58132,1,1781140832
227683423,730,english,My life: this,True,0,0,0.5,57872,1,1781140831
227683420,730,english,This game is my world,True,0,0,0.5,57482,1,1781140829
227683419,730,english,Слишком много,True,0,0,0.5,57619,1,1781140829
227683418,730,english,Геймплей простой,True,0,0,0.5,57903,1,1781140828
227683409,730,english,Worth everything,True,0,0,0.5,57640,1,1781140828
227683417,730,english,Игра с характером,True,0,0,0.5,57444,1,1781140827
227683416,730,english,Графика устарела,True,0,0,0.5,57420,1,1781140827
227683415,730,english,My sleep: sacrificed,True,0,0,0.5,57697,1,1781140827
227683414,730,english,This game is my world,True,0,0,0.5,58648,1,1781140827
227683413,730,english,Купил по рекомендации,True,0,0,0.5,57758,1,1781140827
227683412,730,english,Сюжет слабый,True,0,0,0.5,58144,1,1781140827
227683410,730,english,Игра с характером,True,0,0,0.5,57364,1,1781140827
227683408,730,english,Купил по скидке 75%,True,0,0,0.5,57796,1,1781140827
227683407,730,english,I've found my calling,True,0,0,0.5,58375,1,1781140826
227683406,730,english,Игра с атмосферой,True,0,0,0.5,57470,1,1781140826
227683405,730,english,Игра с атмосферой,True,0,0,0.5,57546,1,1781140826
227683404,730,english,Worth the addiction,True,0,0,0.5,57372,1,1781140826
227683403,730,english,Купил по рекомендации стримера,True,0,0,0.5,57919,1,1781140826
227683402,730,english,Купил в первый день релиза,True,0,0,0.5,57075,1,1781140826
227683401,730,english,This game is my escape,True,0,0,0.5,57554,1,1781140826
227683400,730,english,Сюжет интересный,True,0,0,0.5,57888,1,1781140826
227683399,730,english,Слишком легко,True,0,0,0.5,57911,1,1781140826
227683398,730,english,I don't need anything else,True,0,0,0.5,57561,1,1781140825
227683397,730,english,"Залип на 200 часов, жена ушла",True,0,0,0.5,61824,1,1781140825
227683396,730,english,My life: this,True,0,0,0.5,57845,1,1781140825
227683395,730,english,Графика устарела но душа есть,True,0,0,0.5,57523,1,1781140825
227683394,730,english,Игра с атмосферой,True,0,0,0.5,57791,1,1781140825
227683393,730,english,I've achieved,True,0,0,0.5,58214,1,1781140825
227683392,730,english,Better than reality,True,0,0,0.5,57410,1,1781140825
227683391,730,english,Не стоит своих денег,True,0,0,0.5,57361,1,1781140825
227683390,730,english,I have 1100 hours. Still going.,True,0,0,0.5,57223,1,1781140825
227683389,730,english,Игра для души,True,0,0,0.5,57904,1,1781140824
227683388,730,english,Игра для вечера,True,0,0,0.5,57367,1,1781140824
227683387,730,english,I need this,True,0,0,0.5,57619,1,1781140824
227683386,730,english,This game is my safe haven,True,0,0,0.5,57783,1,1781140824
227683385,730,english,I've become a hermit,True,0,0,0.5,57543,1,1781140824
227683384,730,english,I have 300 hours. Still learning.,True,0,0,0.5,58738,1,1781140824
227683383,730,english,Графика красивая,True,0,0,0.5,57670,1,1781140823
227683338,730,english,Графика красивая,True,0,0,0.5,63428,1,1781140763
227683334,730,english,Игра для души,True,0,0,0.5,58287,1,1781140761
227683332,730,english,Графика устарела но душа есть,True,0,0,0.5,57254,1,1781140760
227683331,730,english,Играю вместо сна,True,0,0,0.5,57825,1,1781140760
227683330,730,english,Купил в первый день,True,0,0,0.5,57705,1,1781140760
227683329,730,english,I don't need sunlight,True,0,0,0.5,58711,1,1781140760
227683328,730,english,Сюжет интересный,True,0,0,0.5,57841,1,1781140760
227683327,730,english,Купил по скидке 95%,True,0,0,0.5,57699,1,1781140760
227683326,730,english,Игра для души,True,0,0,0.5,57280,1,1781140760
227683325,730,english,I need a break. Just kidding.,True,0,0,0.5,58160,1,1781140760
227683324,730,english,I need this,True,0,0,0.5,58241,1,1781140760
227683323,730,english,Игра с атмосферой,True,0,0,0.5,57289,1,1781140759
227683322,730,english,Графика красивая,True,0,0,0.5,58000,1,1781140759
227683321,730,english,My life: dedicated,True,0,0,0.5,57930,1,1781140759
227683319,730,english,Графика средняя,True,0,0,0.5,57531,1,1781140758
227683316,730,english,Greatest game and please bring my trust factor up,True,0,0,0.5,5894,1,1781140758
227683282,730,english,monkeys,True,0,0,0.5,15848,5,1781140711
227683270,730,english,Геймплей уникальный,True,0,0,0.5,58523,1,1781140697
227683269,730,english,My life: this game,True,0,0,0.5,58623,1,1781140697
227683268,730,english,"Купил, не зашло, отдал другу",True,0,0,0.5,58958,1,1781140697
227683267,730,english,Игра с атмосферой,True,0,0,0.5,57504,1,1781140697
227683266,730,english,Игра для фанатов,True,0,0,0.5,58267,1,1781140697
227683265,730,english,I've achieved nothing and I'm happy,True,0,0,0.5,58452,1,1781140697
227683263,730,english,Играю вместо того чтобы жить,True,0,0,0.5,58214,1,1781140697
227683262,730,english,My fitness: nonexistent,True,0,0,0.5,58276,1,1781140697
227683261,730,english,My life: this,True,0,0,0.5,58329,1,1781140697
227683260,730,english,I can't stop. Help.,True,0,0,0.5,57972,1,1781140696
227683259,730,english,"Купил по скидке, лучшая покупка",True,0,0,0.5,58141,1,1781140696
227683257,730,english,"Купил по скидке, лучшая покупка",True,0,0,0.5,58006,1,1781140696
227683256,730,english,Купил на последние деньги,True,0,0,0.5,58793,1,1781140696
227683255,730,english,This game is my safe space,True,0,0,0.5,58188,1,1781140696
227683254,730,english,Купил в первый день релиза,True,0,0,0.5,58142,1,1781140696
227683253,730,english,Купил по импульсу,True,0,0,0.5,58372,1,1781140696
227683252,730,english,Игра для души,True,0,0,0.5,58240,1,1781140696
227683251,730,english,My mom asked if I'm okay,True,0,0,0.5,56603,1,1781140695
227683250,730,english,My chair has a permanent imprint,True,0,0,0.5,57570,1,1781140695
227683249,730,english,Сюжет затянутый,True,0,0,0.5,57901,1,1781140695
227683248,730,english,I've achieved peak happiness,True,0,0,0.5,58323,1,1781140695
227683247,730,english,I have 2300 hours.,True,0,0,0.5,57038,1,1781140695
227683246,730,english,I have 3100 hours.,True,0,0,0.5,58450,1,1781140695
227683245,730,english,Купил ради достижений,True,0,0,0.5,57808,1,1781140695
227683244,730,english,This game is my destiny,True,0,0,0.5,57728,1,1781140694
227683243,730,english,"Купил по ошибке, оказалось лучшей ошибкой",True,0,0,0.5,57875,1,1781140694
227683242,730,english,Слишком легко,True,0,0,0.5,57975,1,1781140694
227683241,730,english,Геймплей простой,True,0,0,0.5,58213,1,1781140694
227683240,730,english,Купил по скидке 95%,True,0,0,0.5,58370,1,1781140694
227683239,730,english,Better than sleep,True,0,0,0.5,63559,1,1781140694
227683238,730,english,This game is my escape,True,0,0,0.5,57505,1,1781140694
227683237,730,english,Игра с атмосферой,True,0,0,0.5,58123,1,1781140693
227683236,730,english,I need this game,True,0,0,0.5,57994,1,1781140693
227683235,730,english,Игра для души,True,0,0,0.5,58675,1,1781140692
227683233,730,english,Игра для души,True,0,0,0.5,58085,1,1781140692
227683232,730,english,Игра с характером,True,0,0,0.5,57858,1,1781140692
227683231,730,english,I've transcended,True,0,0,0.5,58539,1,1781140692
227683230,730,english,Геймплей не для всех,True,0,0,0.5,57780,1,1781140692
227683229,730,english,My sleep: overrated,True,0,0,0.5,57873,1,1781140691
227683228,730,english,I've achieved peace,True,0,0,0.5,57647,1,1781140691
227683227,730,english,Не советую,True,0,0,0.5,58850,1,1781140691
227683226,730,english,This game is my world,True,0,0,0.5,58391,1,1781140691
227683225,730,english,My life: this game,True,0,0,0.5,58344,1,1781140691
227683224,730,english,Игра для вечера,True,0,0,0.5,57777,1,1781140691
227683223,730,english,My life: gaming,True,0,0,0.5,58114,1,1781140691
227683221,730,english,Worth every second,True,0,0,0.5,58465,1,1781140691
227683220,730,english,My parents are worried,True,0,0,0.5,58547,1,1781140691
227683219,730,english,Игра для вечера,True,0,0,0.5,58872,1,1781140691
227683218,730,english,My life: dedicated,True,0,0,0.5,58035,1,1781140691
227683217,730,english,Игра на вечерок,True,0,0,0.5,58213,1,1781140690
227683216,730,english,Графика минималистичная но стильная,True,0,0,0.5,57981,1,1781140690
227683214,730,english,I need this game,True,0,0,0.5,58518,1,1781140690
227683213,730,english,Купил для себя,True,0,0,0.5,58026,1,1781140690
227683212,730,english,Слишком много,True,0,0,0.5,59352,1,1781140690
227683211,730,english,Купил для мультиплеера,True,0,0,0.5,57742,1,1781140690
227683210,730,english,My sleep: gone,True,0,0,0.5,58290,1,1781140690
227683209,730,english,"Купил, установил, играю 3й год",True,0,0,0.5,58115,1,1781140689
227683208,730,english,My life: this game,True,0,0,0.5,62890,1,1781140689
227683207,730,english,Игра для души,True,0,0,0.5,58391,1,1781140689
227683206,730,english,I have 1900 hours.,True,0,0,0.5,57515,1,1781140689
227683205,730,english,This game is my therapy session,True,0,0,0.5,58263,1,1781140689
227683204,730,english,Игра для вечера,True,0,0,0.5,58027,1,1781140688
227683203,730,english,My life: dedicated,True,0,0,0.5,58139,1,1781140688
227683202,730,english,My sleep: nope,True,0,0,0.5,57643,1,1781140688
227683201,730,english,Слишком легко,True,0,0,0.5,58230,1,1781140688
227683199,730,english,Сюжет предсказуемый,True,0,0,0.5,58082,1,1781140687
227683198,730,english,Купил по эмоциям,True,0,0,0.5,57745,1,1781140687
227683197,730,english,This game is my identity,True,0,0,0.5,58506,1,1781140687
227683196,730,english,I have 500 hours. Send help.,True,0,0,0.5,58312,1,1781140687
227683194,730,english,I've achieved enlightenment through gaming,True,0,0,0.5,58485,1,1781140687
227683193,730,english,"Купил в раннем доступе, до сих пор жду",True,0,0,0.5,63092,1,1781140687
227683192,730,english,Игра с атмосферой,True,0,0,0.5,58220,1,1781140687
227683191,730,english,Игра для вечера,True,0,0,0.5,56668,1,1781140686
227683190,730,english,Не то что ожидал,True,0,0,0.5,58298,1,1781140686
227683189,730,english,I've transcended reality,True,0,0,0.5,58059,1,1781140686
227683188,730,english,I have 3700 hours.,True,0,0,0.5,57389,1,1781140686
227683187,730,english,This game is my escape,True,0,0,0.5,62872,1,1781140686
227683186,730,english,Better than my job,True,0,0,0.5,57873,1,1781140685
227683185,730,english,Игра для вечера,True,0,0,0.5,57729,1,1781140685
227683184,730,english,My life: worth,True,0,0,0.5,59042,1,1781140685
227683183,730,english,Графика красивая,True,0,0,0.5,58375,1,1781140685
227683182,730,english,I lost my job. No regrets.,True,0,0,0.5,59121,1,1781140685
227683181,730,english,My life: worth it,True,0,0,0.5,57806,1,1781140685
227683180,730,english,I've achieved enlightenment,True,0,0,0.5,57650,1,1781140685
227683179,730,english,I have 600 hours. Still not bored.,True,0,0,0.5,58271,1,1781140685
227683178,730,english,Купил ради мультиплеера,True,0,0,0.5,57656,1,1781140684
227683177,730,english,Играю когда нечего делать,True,0,0,0.5,56397,1,1781140684
227683176,730,english,Игра с атмосферой и душой,True,0,0,0.5,58642,1,1781140684
227683175,730,english,Купил по эмоциям,True,0,0,0.5,57900,1,1781140684
227683174,730,english,This game is my world,True,0,0,0.5,58127,1,1781140684
227683173,730,english,My life: worth it,True,0,0,0.5,58567,1,1781140683
227683172,730,english,Worth my entire existence,True,0,0,0.5,58069,1,1781140683
227683171,730,english,I've transcended,True,0,0,0.5,57666,1,1781140683
227683170,730,english,"Купил по скидке 90%, всё равно дорого",True,0,0,0.5,56215,1,1781140683
227683169,730,english,Не то,True,0,0,0.5,58476,1,1781140683
227683168,730,english,This game is my escape,True,0,0,0.5,57709,1,1781140683
227683167,730,english,Игра с характером,True,0,0,0.5,57966,1,1781140683
227683166,730,english,I have 3100 hours.,True,0,0,0.5,57806,1,1781140682
227683165,730,english,I need it,True,0,0,0.5,57839,1,1781140682
227683164,730,english,Купил в первый день,True,0,0,0.5,58616,1,1781140682
227683163,730,english,Игра для фанатов,True,0,0,0.5,57974,1,1781140682
227683161,730,english,Купил по скидке,True,0,0,0.5,56566,1,1781140682
227683159,730,english,I need this game,True,0,0,0.5,58860,1,1781140681
227683158,730,english,Купил для себя,True,0,0,0.5,58337,1,1781140681
227683157,730,english,I've transcended,True,0,0,0.5,57862,1,1781140681
227683156,730,english,I've lost,True,0,0,0.5,61248,1,1781140681
227683155,730,english,I've lost,True,0,0,0.5,57760,1,1781140681
227683153,730,english,Купил в раннем доступе,True,0,0,0.5,58541,1,1781140680
227683152,730,english,My life: this game,True,0,0,0.5,57564,1,1781140680
227683151,730,english,This game is my everything,True,0,0,0.5,56589,1,1781140680
227683150,730,english,Сюжет затянутый,True,0,0,0.5,56499,1,1781140679
227683149,730,english,My life: dedicated,True,0,0,0.5,56528,1,1781140679
227683148,730,english,This game is my safe space,True,0,0,0.5,57983,1,1781140679
227683147,730,english,Игра для вечера,True,0,0,0.5,57897,1,1781140678
227683145,730,english,Игра для души,True,0,0,0.5,56555,1,1781140678
227683144,730,english,I need this game,True,0,0,0.5,61443,1,1781140677
227683143,730,english,Better than reality,True,0,0,0.5,56368,1,1781140677
227683141,730,english,I've merged,True,0,0,0.5,56674,1,1781140677
227683140,730,english,I've transcended the need for sleep,True,0,0,0.5,56901,1,1781140677
227683138,730,english,Игра для души,True,0,0,0.5,60324,1,1781140676
227683135,730,english,"Графика так себе, но игра огонь",True,0,0,0.5,56354,1,1781140676
227683134,730,english,Графика не для слабых ПК,True,0,0,0.5,59627,1,1781140676
227683133,730,english,This game is my emotional support,True,0,0,0.5,56473,1,1781140676
227683132,730,english,Слишком много багов,True,0,0,0.5,56271,1,1781140675
227683131,730,english,My life: worth,True,0,0,0.5,56344,1,1781140675
227683130,730,english,Геймплей затягивает,True,0,0,0.5,57643,1,1781140675
