recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227645424,730,russian,seksi,True,0,0,0.5,33841,1,1781103962
227644912,730,russian,прикольно,True,0,0,0.5,1993,13,1781103512
227644866,730,russian,печеньки,True,0,0,0.5,11634,1,1781103484
227644792,730,russian,кс2,True,0,0,0.5,48868,2,1781103410
227644699,730,russian,кайф,True,0,0,0.5,4824,1,1781103332
227644679,730,russian,"не тянет игру,не советую",True,0,0,0.5,12968,4,1781103311
227644576,730,russian,+rep,True,0,0,0.5,750,4,1781103230
227644367,730,russian,Очень хорошая игра,True,1,0,0.523809552192687988,53112,1,1781103047
227644308,730,russian,НЕ ЗНАЮ ЧЕ ПИСАТЬ НОРМ ШУТЕР,True,0,0,0.5,300,2,1781102990
227643975,730,russian,Хэй ! Кайфани!,True,0,0,0.5,14205,1,1781102683
227643918,730,russian,"Если ты любишь читеров и ботов, то тебе определенно зайдет кс2)",True,0,0,0.5,630,1,1781102636
227643898,730,russian,крутая игра,True,0,0,0.5,4212,1,1781102619
227643798,730,russian,Ждём анти чит,True,1,0,0.523809552192687988,9169,1,1781102525
227643580,730,russian,без прайма ♥♥♥♥♥ не дано  дорого  а так нормалда,True,0,0,0.5,18206,1,1781102335
227643448,730,russian,ЗДЙЛАЙ ТАК ЧТОП РЕГАЛО ПОЖАЛУЙСТАИ ПОТЕМЙТОМ УРОН НЕ РЕГАЛО ЕСЛИ ЗДЕЛАИТЕ ПОЛ КАМЮНИТИ БУДИТ РАДЫ  ПОЖАЛУЙСТА,True,0,0,0.5,12252,2,1781102215
227643272,730,russian,Класс,True,0,0,0.5,20695,1,1781102046
227643106,730,russian,четко,True,0,0,0.5,395589,1,1781101870
227643019,730,russian,прикольная игрушка где можно вьебать все свои нервы,True,0,0,0.5,60944,2,1781101785
227642898,730,russian,имба игра,True,0,1,0.5,1491,2,1781101674
227642654,730,russian,нет,True,0,0,0.5,25956,5,1781101443
227642649,730,russian,krutoi shuter moya lubimaya igra sowetuju,True,0,0,0.5,2056,1,1781101436
227642598,730,russian,"поиграл 200 часов, за первые 10 минут почему то остался без родителей уже 57 раз",True,0,0,0.5,12649,1,1781101395
227642559,730,russian,круто,True,0,0,0.5,6796,1,1781101353
227642326,730,russian,67,True,0,0,0.5,60592,1,1781101146
227642274,730,russian,Пж зарегай 2,True,1,0,0.523809552192687988,32597,1,1781101107
227642178,730,russian,"Скажу вам так, проиграл я во всю серию CS, на разных аккаунтах по некоторым причинам, и пришел к такому мнению, в этой игре вы можете найти как позитивные, так и отрицательные эмоции.",True,0,0,0.5,28503,1,1781101032
227642080,730,russian,игра бомба НО Много читеров,True,0,0,0.5,2512,1,1781100956
227642069,730,russian,крутааа!!!!,True,1,0,0.523809552192687988,544,1,1781100948
227641974,730,russian,Цукепцк,True,0,0,0.5,219325,1,1781100871
227641911,730,russian,xuita,True,0,0,0.5,11385,7,1781100806
227641762,730,russian,норм,True,0,0,0.5,3363,1,1781100667
227641713,730,russian,egdsfsd,True,0,0,0.5,691,1,1781100618
227641680,730,russian,"это крутая игра, снизили траст фактор за пару каток в напах",True,0,0,0.5,39504,1,1781100591
227641602,730,russian,донк круче симпла,True,0,0,0.5,670,2,1781100505
227641475,730,russian,normal,True,0,0,0.5,3221,1,1781100371
227641261,730,russian,курица тут самая лучшая,True,0,0,0.5,261,9,1781100151
227641076,730,russian,♥♥♥♥,True,0,0,0.5,9318,1,1781099957
227641077,730,russian,ez,True,0,0,0.5,28344,1,1781099956
227641060,730,russian,Добротно,True,0,0,0.5,8211,6,1781099943
227641025,730,russian,Отличная игра,True,0,0,0.5,440,1,1781099906
227640927,730,russian,кайф!,True,1,0,0.523809552192687988,11180,2,1781099800
227640880,730,russian,"Везде Американцы!!! Дам совет как солдат с большим боевым опытом - Поляк в команде - враг! Турок - враг! Американец - враг! Женщина? F1. Для игры в данное произведение от Valve требуется: Железные нервы (или их отсутствие вовсе), литр водяры, кенты-орлы разделяющие скилл игрока по национальности",True,0,0,0.5,28872,3,1781099750
227640856,730,russian,Wow,True,0,0,0.5,877,1,1781099732
227640821,730,russian,игра оболденая ставлю 5 звезд,True,0,0,0.5,625,1,1781099691
227640630,730,russian,имба,True,0,0,0.5,1879,2,1781099510
227640588,730,russian,топ,True,0,0,0.5,480,1,1781099465
227640536,730,russian,пкп,True,0,0,0.5,993,1,1781099427
227640530,730,russian,ужасная игра всем советую p.s моя любимая игра,True,0,0,0.5,7690,1,1781099422
227640459,730,russian,сапсмссмсм ссапспаамепамепнампрмим,True,0,0,0.5,2846,1,1781099341
227639992,730,russian,6767,True,0,0,0.5,5144,1,1781098855
227639938,730,russian,https://www.youtube.com/watch?v=zJcW3aEaywk,True,0,0,0.5,137874,2,1781098813
227639840,730,russian,"11/10 cheaters, I love it, thanks",True,0,0,0.5,6238,3,1781098714
227639611,730,russian,л,True,0,0,0.5,36798,3,1781098465
227639549,730,russian,When sex update??????,True,0,0,0.5,2112,2,1781098390
227639490,730,russian,"Просто великолепная система рангов. 12 побед подряд на Mirage не дали повышения, а после двух поражений сразу получил понижение. Очень классно мотивирует играть дальше. 👍",True,0,0,0.5,51161,1,1781098328
227639186,730,russian,ну нормик че сказать,True,0,0,0.5,2186,1,1781097986
227639142,730,russian,...,True,0,0,0.5,432,1,1781097919
227639057,730,russian,...,True,1,0,0.523809552192687988,80002,1,1781097839
227639036,730,russian,бара бара бара бере бере бере бара бара бере бере,True,0,0,0.5,12395,1,1781097814
227639018,730,russian,имапкпкцауакпрекцкц ыуреке,True,0,0,0.5,1078,3,1781097801
227638967,730,russian,игра хорошо оптимизирована.в моём системнике 150 фпс.Геймплей увлекательный.,True,0,0,0.5,6229,1,1781097750
227638897,730,russian,ыгра топ ставлю лосяру,True,0,0,0.5,11567,1,1781097675
227638835,730,russian,классная музыка в фоновом меню,True,0,0,0.5,1531,1,1781097608
227638794,730,russian,ужасная игра,True,0,0,0.5,5358,1,1781097570
227638775,730,russian,suck,True,0,0,0.5,699,1,1781097553
227638755,730,russian,"CS2 — красивый шутер с крутым дымом, но кайф портят читеры и лаги.Плюс: Графика.Минус: Читеры",True,0,0,0.5,10738,1,1781097529
227638620,730,russian,imbulya,True,0,0,0.5,111761,2,1781097385
227638553,730,russian,да,True,0,0,0.5,8745,1,1781097296
227638412,730,russian,игра имба поиграл 10 минут у меня дома уже 15 отчимов ждут пока я катку доиграю,True,0,0,0.5,2889,1,1781097155
227638411,730,russian,СМ,True,0,0,0.5,3570,1,1781097154
227638332,730,russian,https://steamcommunity.com/profiles/76561198113666193/inventory/#730_2_48492132786,True,0,0,0.5,22719,1,1781097084
227637999,730,russian,явкиявчсаиясмисмиячсиВЯЫВпЫgXиЧмиывпЫВПЫмвычСмЧмЫМыУмыриатсмямтясиясмиявсияваиявакиЯВКАиВЫмичbxcbZXbzdbzdbdzbdRbdSvSvSDvsvsEg,True,0,0,0.5,1579,1,1781096728
227637969,730,russian,пизда,True,0,0,0.5,967,1,1781096686
227637952,730,russian,"полная х#йня, каждую катку икдает смурфов",True,0,0,0.5,1733,1,1781096663
227637895,730,russian,Никогда не регает. Всем советую,True,0,0,0.5,7033,1,1781096600
227637808,730,russian,ебанулся на голдах пока играл на вертиго и инферно,True,0,1,0.5,1890,1,1781096515
227637713,730,russian,"Z JXTYM HFL 'NJ Q BUHT TGJNJVE XNJ REGBK GHFQV CNFNEC BUHF RHNEFZ DCTV DCGFCB,J",True,0,0,0.5,4267,2,1781096420
227637706,730,russian,каждая игра с читерами 10/10,True,0,0,0.5,13513,1,1781096408
227637676,730,russian,good game,True,0,0,0.5,66198,1,1781096382
227637670,730,russian,dct,True,0,0,0.5,2605,1,1781096375
227637463,730,russian,ahuenchik,True,0,0,0.5,12202,1,1781096113
227637449,730,russian,Лучшый игра на всех свете,True,0,0,0.5,18810,1,1781096093
227637212,730,russian,Кайф игра,True,0,0,0.5,1173,2,1781095788
227637172,730,russian,норм,True,0,0,0.5,4584,1,1781095752
227637098,730,russian,.,True,0,0,0.5,35889,8,1781095638
227637069,730,russian,Приходите отдохнуть,True,0,0,0.5,1553,1,1781095609
227636807,730,russian,ghbrjkmyj,True,0,0,0.5,982,1,1781095328
227636757,730,russian,...,True,0,0,0.5,34494,1,1781095270
227636644,730,russian,Chotki,True,0,0,0.5,7179,1,1781095124
227636612,730,russian,не совветую,True,0,0,0.5,185862,2,1781095099
227636494,730,russian,"Можно пожалуйста сделать нормальных тиммейтов, потому что они боты и удалите игру африканским они меня бесят",True,1,0,0.523809552192687988,3698,2,1781094967
227636272,730,russian,Норм,True,0,0,0.5,14413,1,1781094713
227636147,730,russian,good,True,0,0,0.5,29151,1,1781094601
227636031,730,russian,IMBAA,True,0,1,0.5,87863,1,1781094467
227636005,730,russian,без парйма пизда,True,0,0,0.5,3269,1,1781094440
227635978,730,russian,топ,True,0,0,0.5,19116,3,1781094407
227635895,730,russian,л,True,0,0,0.5,2073,1,1781094316
227635772,730,russian,игра ♥♥♥♥♥,True,1,0,0.523809552192687988,24295,1,1781094183
227635728,730,russian,игра говно низуя не регает,True,1,0,0.523809552192687988,281601,1,1781094139
227635668,730,russian,cooooooooooooooooooooooooooooooooooooool ну и ♥♥♥♥♥ ♥♥♥♥♥♥♥ это,True,0,0,0.5,34517,2,1781094043
227635609,730,russian,апупеть как круто,True,1,0,0.523809552192687988,321236,1,1781093974
227635589,730,russian,♥♥♥♥♥♥,True,0,0,0.5,10832,2,1781093944
227635477,730,russian,money money money,True,0,0,0.496527791023254395,21095,1,1781093808
227635404,730,russian,xD,True,0,0,0.5,5457,1,1781093712
227635363,730,russian,нормик,True,0,0,0.5,2585,1,1781093671
227635358,730,russian,познавательная и очень позитивная,True,0,0,0.5,23477,3,1781093665
227635288,730,russian,не регает ♥♥♥♥,True,0,0,0.5,10241,1,1781093585
227635235,730,russian,yt htuftn,True,0,0,0.5,594,1,1781093519
227635173,730,russian,игра в целом бомба прям затянула и играю каждый день,True,0,0,0.5,146926,1,1781093457
227635110,730,russian,игра хорошая советою,True,0,0,0.5,1999,1,1781093375
227634945,730,russian,ацйуауцкауацауцайцкацйауцвваыувавыавывац3  игра мусор,True,0,0,0.5,9391,7,1781093197
227634931,730,russian,заебись,True,0,0,0.5,23311,1,1781093184
227634895,730,russian,for little girl,True,1,0,0.523809552192687988,3413,5,1781093152
227634860,730,russian,god game,True,0,0,0.5,23756,1,1781093107
227634676,730,russian,Скибиди покое,True,0,0,0.5,6833,6,1781092877
227634396,730,russian,игра без лагов все ахуеннр,True,0,0,0.476190477609634399,137859,1,1781092547
227634367,730,russian,калллище жидкое,True,0,0,0.5,7589,2,1781092515
227634183,730,russian,игра поеботина но затягивает,True,0,0,0.5,2823,1,1781092294
227634101,730,russian,ДА,True,0,0,0.5,4867,13,1781092184
227634070,730,russian,"круто , даже ♥♥♥♥ с дробовика не регает",True,0,0,0.5,2947,3,1781092136
227633958,730,russian,Horoshaya igra dlya patau,True,0,0,0.5,5323,2,1781092021
227633915,730,russian,игрю пол года просто отличная игра,True,0,0,0.5,61033,1,1781091969
227633741,730,russian,хорошая игра,True,1,0,0.523809552192687988,11991,1,1781091734
227633633,730,russian,игра крутая токо  читаки мешают))))))))))))),True,0,0,0.5,15334,1,1781091601
227633553,730,russian,пж зарегай 2,True,0,0,0.5,11675,1,1781091496
227633487,730,russian,Игра огонь,True,1,0,0.523809552192687988,14001,1,1781091415
227633455,730,russian,axuena,True,0,0,0.5,5988,1,1781091357
227633412,730,russian,крутая игра,True,0,0,0.5,18298,1,1781091300
227633380,730,russian,ddadadad,True,0,0,0.5,578,13,1781091258
227633338,730,russian,нармалды,True,0,0,0.5,605,1,1781091205
227633257,730,russian,Ы,True,1,0,0.523809552192687988,37400,1,1781091079
227633247,730,russian,xueta,True,1,0,0.52173912525177002,24024,4,1781091070
227633207,730,russian,сначала у меня небыло отца появился один отец потом второй и один из них бетмен,True,0,0,0.5,3339,1,1781091028
227633077,730,russian,игратоп,True,0,0,0.5,22447,1,1781090856
227632996,730,russian,самая лучшая игра про экшен еще очень весело с друзьями играть,True,0,0,0.5,11208,8,1781090756
227632825,730,russian,)))),True,0,0,0.5,1979,1,1781090539
227632746,730,russian,200 фпс на низких-средних,True,0,0,0.5,65939,4,1781090428
227632422,730,russian,10/10,True,0,0,0.5,19235,28,1781090020
227632416,730,russian,имба,True,0,0,0.5,11052,2,1781090015
227632340,730,russian,the game is Blyat,True,1,0,0.523809552192687988,53968,1,1781089890
227632328,730,russian,"игра говна, никому не советую",True,0,0,0.5,29023,2,1781089872
227631999,730,russian,"probably best shooter at the moment, skins are cool. but cheaters are pain in the buthole",True,0,0,0.5,16553,3,1781089400
227631982,730,russian,/////,True,0,0,0.5,9266,1,1781089377
227631825,730,russian,like,True,0,0,0.5,22279,1,1781089164
227631757,730,russian,фргнутф,True,0,0,0.5,547,1,1781089085
227631709,730,russian,заебись),True,0,0,0.5,245,1,1781089015
227631676,730,russian,E,True,0,0,0.5,2213,1,1781088974
227631640,730,russian,ыыы,True,0,0,0.5,33852,1,1781088918
227631608,730,russian,четкая игра,True,0,0,0.5,23437,1,1781088881
227631547,730,russian,67,True,0,0,0.5,3022,1,1781088782
227631498,730,russian,super game\,True,0,0,0.5,6872,1,1781088718
227631487,730,russian,ssssssssssss,True,0,0,0.5,22001,1,1781088699
227631486,730,russian,"Классная игра, однозначно рекомендую.",True,0,0,0.5,645,1,1781088697
227631463,730,russian,...,True,0,0,0.5,119078,2,1781088670
227631323,730,russian,коко,True,0,0,0.5,2024,1,1781088468
227631266,730,russian,на дошик в среду,True,0,0,0.5,3218,1,1781088392
227631253,730,russian,деф игрок стандова>>>весь киберспорт кс2,True,0,0,0.5,7795,2,1781088369
227631219,730,russian,топ,True,0,0,0.5,16594,2,1781088339
227631197,730,russian,треню скулшутинг,True,0,0,0.476190477609634399,1527,4,1781088305
227631163,730,russian,классная игра,True,0,0,0.5,7577,1,1781088259
227631089,730,russian,♥♥♥♥♥,True,0,0,0.5,2537,1,1781088143
227630952,730,russian,класс,True,0,0,0.5,1371,1,1781087927
227630888,730,russian,лучшая игра,True,0,0,0.5,3106,1,1781087829
227630873,730,russian,вообще чёткая игра советую её если вы неадекват,True,1,0,0.523809552192687988,431,1,1781087805
227630852,730,russian,какащке,True,0,0,0.5,30098,1,1781087768
227630741,730,russian,1,True,2,0,0.545454561710357666,382,1,1781087615
227630731,730,russian,ny i xyinya,True,0,0,0.5,44,1,1781087605
227630708,730,russian,топ,True,0,0,0.5,37425,1,1781087578
