recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227628315,3065800,russian,cool game very interesting plz give it ot me free i want it i love it nad i want to keep playing it so plz igonna spend more money on it and buy all skins if possible,True,1,0,0.492957741022109985,281,3,1781084944
227605767,3065800,russian,"The game is quite engaging, the quests regularly provide motivation to complete them and don't overwhelm the player, although for some they will probably seem too casual. Combined with the unique visual style, the game is very pleasing, and I hope this project has a future",True,1,0,0.496196150779724121,3314,2,1781052967
227600689,3065800,russian,"Это, наверное, пока что лучший шутер, что мы имеем. Да, бунги решили делать его казуальнее. Да, криворучки не умеют играть против дробовиков и спама гранат. Но не смотря на сомнительные нерфы, это все еще очень адреналиновый шутер с той самой стрельбой от Bungie. Лор и атмосфера, как говорили классики - это что-то на уровне Высоцкого, а может быть даже выше. Графоний приятный и мрачный, не смотря на богатую палитру цветов. Музон  давно добавлен в избранное на спотифай. Не думал, что смогу так кайфовать от экстракшнов. 5/5 ЗЫ Если для создания Марафона пришлось убить Дестини, то я не против.",True,5,0,0.565217375755310059,9509,23,1781046088
227599972,3065800,russian,"игра суперкайф, но друг тупое чмо который не осилил",True,0,0,0.490654200315475464,554,48,1781045267
227596132,3065800,russian,прикольно блин,True,1,0,0.523809552192687988,2026,10,1781040874
227589348,3065800,russian,"Топ игра, если есть друзья с кем играть в нее, в соло сложно и скучно. По графике и стилю шедевр.",True,1,0,0.52173912525177002,2269,1,1781034343
227585872,3065800,russian,"Я ОТСОСАЛ В ПЕРВЫЕ МИНУТЫ И ОТЫГРАЛ 67 МИНУТ, МНЕ БЫЛО ЭТОГО ДОСТАТОЧНО И ПОЧЕМУ-ТО У МЕНЯ БЫЛ БУРУНДУЧИЙ ГОЛОС ♥♥♥♥♥♥♥♥ НА РАЗРАБАХ. ВЕРНИТЕ ДЕНЬГИ ТВАРИ ЕБАННЫЕ, Я РАБОТАЮ ПО 10 ЧАСОВ В ДЕНЬ, НЕ ЧТОБ ИГРАТЬ В СИМУЛЯТОР ВОРА С ПУШКАМИ, сеттинг норм и сюжет тож, но я сюжет только знаю от слов друга и от скипленных всех катсцен!!!!!!!!!! БОЛЬШЕ НИКОГДА НЕ ЗАЙДУ В ЭТУ ИГРУ, ФОРТНАЙТ БУДЕТ ГОРАЗДО ЛУЧШЕ И ИНТЕРЕСНЕЕ ЧЕМ ЭТОТ БИОШЛАК. ЕСЛИ ВЫ СОБИРАЕТЕСЬ ПОКУПАТЬ ЭТУ ИГРУ, ТО ПОДУМАЙТЕ ТРИЖДЫ, А ТО ЧЕТЫРЕЖДЫ. РАЗРАБЫ ХУСОСЫ УБИЛИ ИГРУ ОБНОВЛЕНИЯМИ И КАМЬЮНИТИ ВООБЩЕ УЖАС, ОНИ ВСЕ ОРУТ И МАТЕРЯТЬСЯ, НИ ОДНОГО НОРМАЛЬНОГО ЛИБО МОЛЧИЛИВОГО ИГРОКА Я НЕ ВСТРЕЧАЛ!!!!!!!!!!",True,0,2,0.486526936292648315,67,2,1781031250
227580254,3065800,russian,123,True,0,0,0.5,7504,2,1781026080
227575957,3065800,russian,норм,True,2,0,0.527616262435913086,14696,15,1781022526
227571005,3065800,russian,"Искренне не понимаю откуда столько ненависти к игре, многие выставляют свою субъективную оценку за визуал и интерфейс которые не могут быть объективными, если вам не нравится что есть игроки сильнее вас, идите играйте в сингл игры и не нойте, вас никто, не заставляет играть в соревновательные PVP шутеры, лично для меня игра получилась очень достойная",True,1,0,0.523809552192687988,4772,16,1781018372
227563288,3065800,russian,У меня зависимость.,True,1,0,0.523809552192687988,27730,1,1781011612
