recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227621287,1272080,russian,"По сравнению со второй частью игру по большей части можно описать как ""казуальная аркада"". В плане штурма игра стала проще,  максимальная сложность только overkill и нет модификатора one down, но тут на вкус и цвет лично я шёл за весёлыми подпивасными пострелушками и я их получил. Билдостроение стало менее разнообразным, раздела перков больше нет и остались только навыки что очень печально. Сами навыки тоже потеряли свою идентичность и какого-то сильного различия в билдах заметить трудно. Возможность прокачки навыков стала более гибкая, если до этого нужно была качать конкретную ветку чтобы поднять по ней, то теперь достаточно вложить очки в категорию с нужной веткой и можно будет открыть сразу самый верх. Стелс отчасти разочаровал, его в свою очередь сильно оказуалили и считаю в худшую сторону, если до этого это был хардкор с банихопом и попытками мансить среди толп людей и спидранить хайсты, то теперь кучу вещей можно делать даже без маски ""бегать, отвечать на пейджеры, таскать сумки и никто даже не обратит внимание, взламывать двери и тд, даже при имении навыка просто кинуть нож и убить guard'а БЕЗ МАСКИ что какой то пик абсурда"" также механика взлома, если до этого взламывать было ничего нельзя, то теперь можно циклить камеры из далека, заставлять застыть guard'ов на месте взломав их рацию на несколько секунд из-за чего они становятся беспомощными котятами что хоть перед лицом у него с оружием прыгай буквально, реагирует только на незаконные действия с соответствующей отметкой, да и то можно просто кинуть нож в сторону и охранник с радостью пойдёт проверять что ж там такое пока ты можешь заниматься своими делами. Также отсутствие банихопа, так-то он остался, только больше не бесшумный, можно конечно сказать что банихоп это баг и вообще по сути бесшумный спринт, но охранники и так не то чтоб сильно были слышащими, да и бхоп был инструментом для тех самых мансов между толпами людей, чего стоят те же спидраны из PD2 условного казино Golden Green. Вдобавок разделение карты на 3 зоны, полностью безопасную без маски где в отличие от второй части хоть вплотную трись с охранником ничего не будет, частная где если вас поймают без маски то просто ВЫВЕДУТ В БЕЗОПАСНУЮ и попадайся сколько влезет и даже бегай сколько влезет в ней в маске ибо охрана глухая, а если во время того как вас поймали просто взломать рацию охранника, то он ещё и забьёт и забудет про вас, ну и охраняемая где без маски сразу палят и расстреливают.    Данный обзор выглядит конечно исключительно как разбор минусов игры по сравнению со второй частью, но так или иначе PayDay 3 это отчасти новый уникальный опыт в старой обёртке, несмотря на малое количество контента игра даже по сути не имеет конкурентов из-за чего и остаётся играть только в неё, а вторая часть хоть до сих и играбельная, получила относительно недавно какую то официальную поддержку, имеет кучу модов, но просто морально устарела, как никак игре уже 13 лет, не хочу говорить что Dead game, игра умерла и тому подобное, как никак онлайн говорит об обратном 30k+ особенно со смехатворным онлайн PD3 в буквально пару сотен с пиком ну 900.    Если подытожить какие то выводы, если вы хотите старый добрый шутер или просто среднячковый неплохой стелс чего хотел и я от этой игре, она вам определённая должна подарить может и не только, но всё же позитивные эмоции. Разве что спешу огорчить что контента в ней не так уж и много как минимум на момент описания обзора, поэтому её максимум это пару сотен часов и не более.",True,0,0,0.5,5554,26,1781075780
227616569,1272080,russian,"Норм игра, контента побольше и добавили бы убежище как в пд2 и вообще цены бы не было",True,0,0,0.5,1588,21,1781068872
227536823,1272080,russian,Крута блин купил на релизе за 3000к а сейчас можно за 800 купить еще и с длс),True,0,1,0.5,4317,9,1780977239
227481979,1272080,russian,uhfabrf,True,0,0,0.5,1480,4,1780920412
227471482,1272080,russian,"много багов, мало онлайна, но, ♥♥♥, как же это интересно и приятно играется. думаю, для ограбление день 3 эт праймик",True,0,0,0.5,2420,34,1780905630
227439960,1272080,russian,Хорошая игра,True,0,0,0.5,4980,4,1780864721
227436219,1272080,russian,"PAYDAY 3 — это всё тот же адреналиновый коктейль из дерзких ограблений, чёткой командной работы и тактических решений, который фанаты серии знают и любят, но в новой обёртке. 😎 С первых минут чувствуется, что разработчики старались сохранить фирменный дух франшизы: ты снова надеваешь маску, собираешь команду и идёшь на дело, где любая ошибка может стоить всей операции. Стрельба ощущается плотной и увесистой — каждый выстрел имеет значение, а разнообразие пушек и гаджетов позволяет собирать билды под любой стиль: хоть тихо пробираться мимо камер, хоть врываться с грохотом и взрывами.  Особенно круто проработана вариативность прохождения: одну и ту же миссию можно провернуть десятком разных способов. Хочешь — взламываешь системы, отвлекаешь охрану, ведёшь переговоры и выносишь ценности без единого выстрела. Хочешь — идёшь напролом, используя тяжёлое вооружение, турели и ультимативные способности. Новые механики вроде микрокамер, датчиков и возможности действовать в режиме «гражданского» до поднятия тревоги добавляют тактической глубины и заставляют продумывать каждый шаг. А когда всё идёт по плану и команда слаженно выполняет свои роли — это тот самый кайф, ради которого и играют в PAYDAY. 🤩  Но, увы, без шероховатостей не обошлось. На старте игра ощущалась откровенно сырой: постоянные проблемы с серверами, вылеты, сложности с подбором лобби и отсутствие офлайн‑режима сильно портили впечатление. Интерфейс местами неудобный, а некоторые важные функции вроде голосового чата или возможности остаться в команде после миссии поначалу отсутствовали — и это серьёзно мешало кооперативу. Плюс контента на релизе было маловато: карт и сценариев явно не хватало, чтобы надолго удержать даже преданных фанатов.  Баги тоже давали о себе знать: встречались сбои в скриптах миссий, проблемы с синхронизацией между игроками и странные моменты с ИИ врагов — то они не замечают тебя в упор, то вдруг становятся сверхэффективными. Некоторые механики, вроде системы прокачки и кастомизации, казались урезанными по сравнению с PAYDAY 2, и это вызывало вопросы у ветеранов серии.  При этом потенциал у игры огромный. Разработчики активно прислушиваются к сообществу и постепенно докручивают баланс, добавляют контент и исправляют ошибки. Сейчас PAYDAY 3 уже гораздо стабильнее, а новые миссии и обновления заметно расширяют возможности. Если ты фанат кооперативных тактических шутеров и любишь продумывать идеальные ограбления — игра определённо заслуживает внимания, но лучше заходить в неё сейчас, когда большую часть критических проблем уже решили. 😉 А если ждёшь максимального контента — можно подождать очередного DLC: судя по опыту прошлых частей, франшиза раскрывается именно с дополнениями. 🔥",True,0,0,0.5,196,2,1780861572
227422371,1272080,russian,вкеносапрь,True,0,0,0.5,547,7,1780851707
227418202,1272080,russian,пушка гонка кайф,True,0,0,0.5,541,1,1780848517
227389807,1272080,russian,мало контента,True,2,0,0.545454561710357666,1823,7,1780823650
227387147,1272080,russian,+,True,0,0,0.5,448,8,1780820709
227354899,1272080,russian,"Если честно, не плохо. Игра даёт тот самый вайб второй части. Хоть я и зависаю на варке с вагонами, но другие ограбления выходят довольно качественными. Не хватает нормальной прокачки стелса и перевод нейронкой сильно подводит, но игра не плохая на определённый момент",True,0,0,0.5,1447,17,1780782563
227335991,1272080,russian,"игра довольно хорошая хотя есть и проёбы как допустим в оптимизации, тут ♥♥♥♥♥ у меня каждую катку какие то фризы бывают на секунду а то и 2, но это не проблема. У игры есть один и очень большой минус и это его не понятность, она очень не понятная с ходу, надо прям поебатся чтобы понять как зайти в катку как что сделать итд итп. Но в плюс могу добавить что пейпей это просто ♥♥♥♥♥♥♥♥ ШУТЕР в крутыми пушками, жаль нету пвп или типо того. Крч я купил пейпей только ради джекета и я горд",True,0,0,0.5,1475,7,1780766998
227284671,1272080,russian,намного лучше и приятнее  чем трупак payday 2,True,0,2,0.449826985597610474,18,92,1780715309
227256058,1272080,russian,игра классная это как 2ой только с новой графикой и картами новыми из минусов убрали кстомизацию оружия и ножечек котором можно было резать полицию в ближнем бою а так всё круто и замечательно игра определённо понравилась :3,True,0,0,0.5,580,17,1780686111
227232284,1272080,russian,э,True,0,0,0.5,1491,2,1780665640
227179124,1272080,russian,Норм игрушка даже не смотря на то что контента (ограб) маловато для 3-го года с момента выхода игры,True,3,0,0.542311012744903564,3685,19,1780599313
227178392,1272080,russian,10 клокеров из 10,True,0,0,0.5,7350,1,1780598906
227156671,1272080,russian,купил 1 длс с джекетом и этого хватает,True,1,0,0.523809552192687988,662,3,1780579961
227140464,1272080,russian,"день выплаты жалования 3 норм игра, за 3 года можно было конечно больше контента добавить, но это тоже пойдет",True,0,0,0.5,778,21,1780557911
227118638,1272080,russian,+,True,0,0,0.5,2574,73,1780525378
227085972,1272080,russian,"Люди, что засрали пейдей 3, на мой взгляд это вообще не оправдано. Эта игра - отличное продолжение серии, с большим разнообразий ограблений, костюмов, пушек, красивой графикой, и множеством длс, так что почему люди наныли на смешанную общую оценку я искренне не понимаю.",True,7,0,0.571949779987335205,264,59,1780493729
227044244,1272080,russian,"Вполне достойное на мой взгляд продолжение серии игр Payday. Вечерком залететь в игрушку, пострелять по копам и повытаскивать большие куши с ограблений, что может быть лучше?  Без понятия какой третья часть была на релизе, но в данный момент игра ощущается как минимум допиленной. Возможно есть мелкие недочеты по типу невозможности перезаряжаться во время бега, или невозможности отключения ботов в приватных сессиях.  В остальном всё в порядке, либо игроки как всегда наныли либо я один из немногих кому реально третья часть зашла. В любом случае старайтесь оценивать игры сами, и иметь свою голову на плечах.  А так 8 Далласов из 10-ти.",True,2,0,0.54356849193572998,264,58,1780435288
227032770,1272080,russian,все четко,True,0,0,0.5,737,5,1780425006
227024109,1272080,russian,"В целом неплохо, но не 2 часть, до нее еще года 3",True,0,0,0.5,1003,8,1780417341
227015944,1272080,russian,имба игра,True,0,0,0.5,1325,15,1780409738
227013780,1272080,russian,"Кооперативная игра,с ограблениями это всегда клёво",True,0,0,0.5,2354,1,1780407498
227003184,1272080,russian,😎,True,0,0,0.5,2601,1,1780393564
226958514,1272080,russian,"В целом, неплохо. Но маловато ограблений, масок и оружия(но это мелочи).  А еще жду, когда добавят  солнцезащитные очки как маску, было бы круто.",True,0,0,0.5,4010,1,1780336953
226957702,1272080,russian,"Еще года три назад забрал 2 часть бесплатно и сразу же влюбился в эту серию игр. Наиграл 400 часов и долго ждал выход 3 части, к сожалению, при выходе игру не приняли из за многих причин, наконец, спустя еще 3 года могу насладиться и ей тоже, спасибо",True,0,0,0.476190477609634399,2518,2,1780336182
226940093,1272080,russian,like!,True,0,0,0.5,502,17,1780318926
226939355,1272080,russian,Топ,True,0,0,0.5,1557,2,1780318095
226815965,1272080,russian,"Игра при прочих минусах крайне приятная. Однако вот со скидкой за 847 рублей - норм, но цена кратно не стоит того. Типа купить GTAV ну или PAYDAY 2 со всеми DLC кратно лучше. Я даже возвращал 3 дня назад игру, но всё же она стоит чтобы поиграть",True,0,0,0.5,4232,3,1780179452
226795384,1272080,russian,"PAYDAY 3 — мои впечатления  Знаете, это странное чувство. Я захожу в игру, надеваю маску, и... начинается тот самый беспредел, за который я люблю эту серию. Двери выбиваются ногой, заложники визжат, а из моего автомата вылетает вся обойма за три секунды. Это кайф.  Да, графика стала другой. Более гладкой, более современной. И самое главное — перестрелки теперь ощущаются тяжелыми и весомыми. Каждый выстрел чувствуется, это не беготня с пластмассовыми пукалками. Я чувствую себя не просто грабителем, а спецназовцем от мира криминала.  Когда я играю с другом, мы реально начинаем прикрывать друг друга, кричать в дискорде «Беги бляяя!», Это единение, когда ты и твой напарник — единый кулак, который крушит всё на своём пути. Это драйв, который вывозит любые технические проблемы.  А проблемы есть. Иногда игра тупит, иногда сервер заставляет подождать. Но в тот момент, когда начинается перестрелка, когда воздух наполнен свинцом и у тебя на счету каждая секунда... ты забываешь об этом. Потому что это весело.  Я знаю, что контента пока маловато. Но каждый раз, когда я заканчиваю ограбление и слышу эту музыку, я хочу нажать кнопку «Ещё раунд».  Она не идеальна. Но у неё есть душа. И с каждым патчем, с каждым новым DLC, я вижу, как она становится лучше. Я вижу, что разработчики не забили. И поэтому я возвращаюсь.  PAYDAY 3 — это всё ещё та самая безумная игра про ограбления. Просто она теперь красивее, злее и требует немного больше терпения. Но оно того стоит. 💥",True,0,0,0.5,604,78,1780161304
226720579,1272080,russian,"Каждый день я плаваю в денежном океане, ха у  меня их, будто я беременный деньгами",True,0,1,0.5,1139,1,1780082144
