recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227644113,3405690,russian,имба игра,True,0,0,0.5,1473,2,1781102812
227642415,3405690,russian,Криштиану Роналду,True,0,0,0.5,1980,1,1781101210
227639294,3405690,russian,"короче говоря купил игру и не пожалел бабок, Игра прокачалась со временем и стала лучше, Если сравнивать со старым частями фифы для меня это самая лучшая, удобно очень играть, Минус один это отсутсвтие лицензии на чм 2026 и отсуствие русских клубов ( но это можно исправить скачать модик), Советую купить эту игру не пожалеете своих денег!!!",True,1,0,0.5,2713,4,1781098100
227637472,3405690,russian,burmalda,True,0,0,0.5,1623,7,1781096121
227632264,3405690,russian,графика топ,True,0,0,0.5,1576,4,1781089786
227632252,3405690,russian,Класна Ігра Раджу пограти,True,0,0,0.5,519,3,1781089770
227632156,3405690,russian,gg,True,0,0,0.5,2776,14,1781089621
227630172,3405690,russian,не знал что месси скажет роналдо что он лох и заберёт 9 зм,True,0,0,0.5,2581,3,1781086939
227595921,3405690,russian,-_-,True,0,0,0.5,60380,1,1781040622
227594113,3405690,russian,Класс,True,0,0,0.5,3420,6,1781038805
227593093,3405690,russian,картофель,True,0,1,0.5,9670,2,1781037850
227589818,3405690,russian,чотко ональдо,True,0,0,0.5,1967,3,1781034749
227584914,3405690,russian,RF,True,0,0,0.5,9853,4,1781030352
227583841,3405690,russian,kaif,True,0,0,0.5,1433,3,1781029358
227580565,3405690,russian,"Футбольчик, мальчики походят на качков, Игра в ножички плавно переходит на улицу. Чё сутулишься? Трапеция норм, Отработал в спарринге с братаном",True,0,1,0.5,523,11,1781026357
227577349,3405690,russian,Ronaldo the best,True,0,0,0.5,470,2,1781023711
227568242,3405690,russian,Классная игра!,True,0,0,0.5,3300,2,1781016090
227567504,3405690,russian,кайф тема,True,0,0,0.5,548,2,1781015431
227566345,3405690,russian,сафонов лега,True,0,0,0.5,557,4,1781014538
227560988,3405690,russian,ура футбольчик,True,0,0,0.5,557,18,1781009198
227560192,3405690,russian,А,True,0,0,0.5,392,17,1781008386
227553706,3405690,russian,good joob,True,0,0,0.5,2970,1,1781001129
227548355,3405690,russian,твоя мать----давалка)))),True,0,0,0.47999998927116394,5278,25,1780995030
227544848,3405690,russian,"игра сама по себе нормальная, но слишком похожа ан прошлую часть, когда купил, зашел и подумал сразу же, а чем же она отличается... да и постоянные соединение с EA прерываются. и за этого приходится играть только в режиме карьера",True,0,0,0.5,97,1,1780990601
227543387,3405690,russian,"не знаю почему люди так осудили игру. У меня бывают на компе всякие глюки,но именно в фк26 этих лагов нет хоть и играю на самой высокой графике. Короче, если хотите брать,берите по скидке. Я взял за 18 долларов",True,0,0,0.5,2038,5,1780988242
227542889,3405690,russian,ik,True,0,0,0.5,2292,1,1780987381
227517791,3405690,russian,Зашел в рейтинг поиграть - надрали попу Зашел в карьеру - надрали попу,True,1,0,0.523809552192687988,603,24,1780952817
227516535,3405690,russian,gh,True,0,0,0.5,1593,4,1780951748
227510846,3405690,russian,просто топчик в компании,True,0,0,0.5,331,1,1780946720
227507285,3405690,russian,Данная версия понравилась больше чем fc25,True,0,0,0.5,776,13,1780943829
227505419,3405690,russian,четко ойын темаго тема,True,0,0,0.5,2175,1,1780942218
227502504,3405690,russian,очень классная игра моя девушка очень довольна,True,0,0,0.5,1169,1,1780939734
227502055,3405690,russian,Ronaldo suiiii,True,0,0,0.5,1149,1,1780939358
227501645,3405690,russian,Лучшая игра про футбол,True,0,0,0.5,764,1,1780938992
227499048,3405690,russian,"тупорылое безмамное животное при счете 5-4 в вл лиге за 20минут до конца катает мячик на своей половине поля. игра помогает тому , кто в нее задонатил, на большее не расчитывайте. если вы выигрывали при счете 3-1 во втором тайме, это не говорит о том что этому животному не повезет и он не даст вам крученый от крестовины 3 раза подряд. сервера лежат и им хорошо, побеждая вас может отключит из за ""нестабильного"" соединения. вкрации 11 крестовин из 10",True,0,0,0.5,2805,2,1780936799
227496516,3405690,russian,"Худшее что я покупал себе на аккаунт,баги и гемплей отвратительны, постоянно одна команда сильнее другой, так еще и игра начинает сама в одну сторону играть, имея такие деньги делать такую ужасную игру это надо быть даунами",False,0,0,0.5,803,1,1780934580
227489838,3405690,russian,белингем красивый,True,0,0,0.5,532,4,1780928624
227489415,3405690,russian,прикольна,True,0,0,0.5,1246,13,1780928248
227486652,3405690,russian,67,True,0,0,0.5,2307,3,1780925457
227483713,3405690,russian,O'ZBEKISTON OLG'A!!! ВПЕРЕД УЗБЕКИСТАН!!!,True,0,0,0.5,307,34,1780922276
227482774,3405690,russian,Оказывается если не играть UT то игра прекрасна,True,0,0,0.5,6236,4,1780921246
227479344,3405690,russian,за 18 евро топ,True,0,0,0.5,793,4,1780917275
227476058,3405690,russian,игра имбуля не советую без джостика,True,0,0,0.5,736,1,1780912632
227472819,3405690,russian,"неплохой гемплей, нет обещанного реализма но ждем в след части, частые обновы/доработки, новые режимы, игроки",True,0,0,0.5,6431,1,1780907817
227471029,3405690,russian,"топ игра, рональдо пушка месси альтушка",True,0,0,0.5,809,2,1780904894
227469628,3405690,russian,"помогите пж,скачал игру в стиме,привязал к еа,запускаю игру,вылазит окно с запуском игры,и сразу пропадает, уже и античит переуставливал,и в файлах игры пытался решитт проблему ничего не помогает",True,0,0,0.5,18,1,1780902679
227449002,3405690,russian,кеііеор тс,True,0,0,0.5,933,5,1780873643
227443457,3405690,russian,"классная игра, но не оправданно дорого стоит",True,0,0,0.5,1354,10,1780867861
227436784,3405690,russian,сойдет под пиво,True,0,0,0.5,6075,5,1780862049
227430757,3405690,russian,аррапрапрапр,True,0,0,0.5,1305,3,1780857440
227427681,3405690,russian,The game is cool.,True,0,0,0.5,1237,2,1780855871
227420282,3405690,russian,asaa,True,0,0,0.5,877,3,1780850128
227414933,3405690,russian,♥♥♥♥♥,True,0,0,0.5,640,2,1780846071
227411983,3405690,russian,очко дымится хорошо,True,1,0,0.523809552192687988,24129,10,1780843721
227411290,3405690,russian,Только купил и сразу влюбиогся как детя,True,0,0,0.47826087474822998,1320,2,1780843188
227409598,3405690,russian,классная игра,True,0,0,0.47826087474822998,925,18,1780841864
227408337,3405690,russian,суууууууууууууууу,True,0,0,0.5,739,11,1780840911
227406596,3405690,russian,a,True,0,0,0.5,6176,2,1780839424
227386809,3405690,russian,Карьера норм остальные режимы кал,True,0,0,0.5,421,2,1780820334
227385287,3405690,russian,suii,True,0,0,0.5,61698,3,1780818500
227358815,3405690,russian,Игра хорошая,True,0,0,0.5,1593,2,1780786300
