recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227646089,766570,russian,хорошая игра и рыба только подскажите как легко поймать угря но так понравилось,True,0,0,0.5,17946,3,1781104550
227644991,766570,russian,"игра имба, только не дают черного амура (",True,0,0,0.5,98382,1,1781103582
227643240,766570,russian,теперь у моего отца нет личной жизни,True,1,0,0.523809552192687988,144,3,1781102004
227640891,766570,russian,не клюет,True,0,0,0.5,5909,1,1781099765
227638060,766570,russian,имба,True,0,0,0.5,924,2,1781096798
227636327,766570,russian,чотко сидим рыбачим,True,0,0,0.5,1721,2,1781094771
227635887,766570,russian,"отличная игра, особенно мне понравилась локация штрафной пруд, ставлю ""лосяру"" палец в верх",True,0,0,0.5,7887,3,1781094303
227633348,766570,russian,просто атмосфера такая красивая рыб ловить очень интересно особенно трофеев графика лучшая геймплей лучший и сама игра,True,0,0,0.5,21896,8,1781091217
227626615,766570,russian,КРУТО,True,0,0,0.5,3859,1,1781082565
227623284,766570,russian,нет,True,0,1,0.5,3527,4,1781078445
227622573,766570,russian,норм,True,0,0,0.5,1178,5,1781077481
227622035,766570,russian,сом уху ел катушку сломал,True,0,1,0.5,2004,2,1781076715
227621881,766570,russian,ыаыа,True,0,1,0.5,739,2,1781076520
227621297,766570,russian,"Зашел в игру и понял, что без пиво здесь не обойтись! Игра зачет.",True,0,1,0.5,11754,1,1781075793
227610890,766570,russian,кайфово))0)),True,0,1,0.5,1984,3,1781060284
227604759,766570,russian,ОТЛИЧНАЯ ИГРА ЖАЛКО ЧТО НЕ ПОЙМАЛ ЧЕКУШКУ,True,0,1,0.5,4831,1,1781051520
227603942,766570,russian,"Всё идеально, из минусов только то что нельзя бухим уснуть в камышах",True,0,1,0.5,1237,14,1781050350
227602542,766570,russian,"Качал с мыслью ""попробую закинуть удочку пару раз и удалю!"". Но в итоге игра немного затянула и понравилась. Вообще люблю рыбалку в играх, только тут оказывается всё сделано чуть глубже и интереснее, чем в обычных играх, где вся рыбалка построена ""забросил удочку и через мини-игру вытащил рыбку"". Тут вам придётся разбираться чем рыбачить, какие снасти повесить на удилище, какие крючки, какая леска, катушка, наживка, узнавать где рыба обитает, в какое время суток и на какой глубине и т.д. И во всём этом наверное заключается сложность игры, из-за которой многие новички зайдя в игру, её бросят через час или два. Поскольку в обучении, вам расскажут только про управление, а как хотя бы ""встать"" на ноги и держаться на плаву по финансам этого нет. Плюс ко всему этому не самое доброе комьюнити, которое не охотно будет делиться советами. И их тоже можно наверное понять, т.к. по 30 раз отвечать в чате на одни и те же вопросы устают многие.  Учитывая специфику онлайна в игре (Вы не видите других игроков, но можете общаться с ними в чате.), я бы предложил им сделать заметки на точках, что-то на подобии Death Stranding, на которых можно написать ответы или заметки от игроков и возможность лайкать\дизлайкать их, из-за которого бы зависел срок жизни этой заметки.   Но это всё другое! Игра хороша и приносит удовлетворение от игрового процесса, если не зацикливаться на каких-то вещах. Новичкам советую не спешить и просто ловить кайф от геймплея, всякие крутые удочки, куча монеток и трофеи рано или поздно придут!",True,0,0,0.5,6492,91,1781048453
227589654,766570,russian,imba,True,0,0,0.5,876,2,1781034614
227586846,766570,russian,Игра классная.,True,0,0,0.5,1009,2,1781032156
227586537,766570,russian,"сначала хотел испытать чуть настольгии тк оч давно не рыбачил ,а потом как засосало в игру...",True,0,0,0.5,18860,1,1781031855
227583925,766570,russian,ыыы рыбалочкаа,True,0,0,0.5,2107,2,1781029435
227576777,766570,russian,.,True,0,0,0.5,1451,2,1781023196
227573192,766570,russian,неплохо,True,0,0,0.5,41614,1,1781020205
227572816,766570,russian,классная игра бой батя отжал мой пк и он поймал сома рекомендую,True,0,0,0.5,877,1,1781019899
227572417,766570,russian,ЫЫЫ,True,0,0,0.5,203,1,1781019574
227572118,766570,russian,"всё круто, но у меня дефицит серебра",True,0,0,0.5,21869,1,1781019312
227571594,766570,russian,топ,True,0,0,0.5,3133,2,1781018865
227570299,766570,russian,"очень хорошая игра, как будто реально рыбачу, много водоемов, разных удилищ и прочего",True,0,0,0.5,2181,1,1781017785
227569440,766570,russian,"Да, я скуф. Дальше что?",True,0,0,0.5,3724,4,1781017133
227567079,766570,russian,bhf,True,0,0,0.5,8208,1,1781015040
227563460,766570,russian,игра очень хорошая затягивущая,True,0,0,0.5,178,1,1781011776
227557571,766570,russian,чуства крутые воспаминани из детства,True,0,0,0.5,909,1,1781005646
227555898,766570,russian,кеерар0.юдшфцфуыбыкошгеатрыцлщ3реГПышцощлвегшптлдйыг8пр9гы8йпр.ешм.ыпны.йнп.пнгйынрый9п,True,0,1,0.474452555179595947,390,1,1781003480
227553603,766570,russian,удалите голавля,True,0,0,0.5,1024,3,1781001007
227552528,766570,russian,почти выловил акулу только рука соскочила с электического стула,True,0,0,0.5,55,10,1780999891
227549774,766570,russian,"Рыбаука крута, рыба летае по карте",True,0,0,0.5,4580,5,1780996781
