recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227684955,1222670,english,it what it is bread and butter time killer...,True,0,0,0.5,6089,13,1781142841
227681704,1222670,english,Buns,True,0,0,0.5,1558,4,1781139475
227674492,1222670,english,"Creating sims and houses is very fun, wish they had better free hair options though, and the gameplay loop can get kinda boring, other than that love it.",True,0,0,0.5,4210,1,1781130299
227665356,1222670,english,"absolutely love it, whats not to love about sims 4",True,0,0,0.5,4554,1,1781121527
227662623,1222670,english,I like building houses,True,0,0,0.5,33349,1,1781119184
227661063,1222670,english,"Amazing!! i've been playing this game for a few years, i love it!!",True,0,0,0.5,25518,1,1781118094
227659580,1222670,english,yep,True,0,0,0.5,12820,1,1781116747
227653533,1222670,english,lots of freedom but must save or else you will lose everything like i have on multiple occasions,True,0,0,0.5,1026,1,1781111210
227651557,1222670,english,I LOVE THISGAMEEEEEEEEEEEEEEEEEEE,True,0,0,0.5,1027,1,1781109397
227644955,1222670,english,"Whenever I play this Game, Not only have I seen GREED, but I somehow Got Addicted to the game, it's a really good game, but the Mods makes it better, And if you want an expansion Pack... Wait for Steam to do a Sale.",True,0,0,0.5,20399,3,1781103553
227631583,1222670,english,Nice,True,0,0,0.5,1269,14,1781088828
227631542,1222670,english,grate if you are at a point in life where you are not doing anything,True,0,0,0.5,1301,3,1781088776
227630016,1222670,english,Heyy it never lets me actully in the app so if u could fix that and make it load faster,True,0,0,0.5,168,1,1781086791
227629319,1222670,english,eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,True,0,0,0.476190477609634399,7617,2,1781086085
227628120,1222670,english,"Play this game, Get addicted to this game, Get sad when you can't play this game. Very good life",True,0,0,0.5,6980,2,1781084654
227624685,1222670,english,cool imaginary game,True,0,0,0.5,2775,2,1781079956
227619759,1222670,english,A buggy ♥♥♥♥♥♥♥ mess made by a greedy company who forces you to pay egregious amounts of money for not even that good (Besides a few packs) dlc.    Yet despite all that it's still somehow 10/10 the best game I've ever played. ♥♥♥♥ EA. Take my Money anyways.,True,0,0,0.5,4409,7,1781073874
227613725,1222670,english,yes,True,0,0,0.5,1057,1,1781064339
227613177,1222670,english,Yesss,True,0,0,0.5,10858,9,1781063527
227608530,1222670,english,It is a very enjoyable game.,True,0,0,0.5,880,46,1781056979
227606860,1222670,english,great game should play i love treating the sims like they mean nothing in any world ever,True,0,0,0.5,6180,4,1781054501
227603310,1222670,english,this game is the best game you could ever play in your downtime FOR HOURS. its amazing.,True,0,0,0.5,9602,1,1781049457
227602340,1222670,english,really am enjoyable game to pass the time,True,0,0,0.5,72139,1,1781048130
227598035,1222670,english,enjoying game glad bc sims 3 keeps having issues,True,0,0,0.5,1790,3,1781043087
227597004,1222670,english,its fun ig,True,0,0,0.5,6886,1,1781041884
227592755,1222670,english,BEST GAME EVERRRRR!!!!!,True,0,0,0.5,18506,1,1781037527
227589290,1222670,english,"The game is quite realistic and fun; I enjoy making fictional characters, sometimes my own OCs just for fun! Everything is very detailed. There are many fun extra purchasable packs with more cool stuff, but even without it the game is pretty fun to play. 100% worth it!",True,0,0,0.5,1116,1,1781034301
227588916,1222670,english,moja poslednja i prva ljubavi,True,1,0,0.523809552192687988,52,1,1781033960
227585101,1222670,english,"AMAZING, full of custom content you can download!",True,0,0,0.5,1710,3,1781030506
227577242,1222670,english,Never ask a girl to show her sims save.,True,0,0,0.5,1329,56,1781023611
227576910,1222670,english,"I enjoy this game mainly for the fun of house building, however, I'm also finding joy in actually letting my Sims live their virtual lives. I bought basically all the packs while on sale, so I have a TON of packs that help make the game more fun. I have likely invested about $250-$300 into the game in packs and base game haha. I do not plan to buy Sims 5, so the investment of $300 felt reasonable to me. I've played about 113 hours so far, which brings my cost per hour to only $3/hour played. As I wracked up over 400 hours playing Sims 3 with only one pack addition, I know my investment will continue to bring me a lot of joy.",True,0,0,0.5,7006,3,1781023315
227576544,1222670,english,./././././././././././,True,0,0,0.5,3933,1,1781022979
227563032,1222670,english,It is fun on the bun.,True,0,0,0.5,4594,2,1781011359
227560166,1222670,english,"It's the sims. The base game can be fun, and can be boring, depending on what you choose to do or the traits you give your sims. I think after a while the base game can get repetitive and not worth playing, but it is a very addictive game (just see how long I've played). It's quite simple and that's what I like about it.  Now the extension packs. A few opinions, take them or leave them. The cost for every pack is about £35, and there is no way I'm getting more than maybe two (I have City Living right now), but the added neighbourhoods, traits, characteristics and clothing options are decent enough. I would recommend Sims 4 (plus it's free so why nah), but only recommend one or two extension packs just because of the price.",True,0,0,0.5,6055,1,1781008359
227543417,1222670,english,VERY FUN,True,0,0,0.5,1079,1,1780988296
227541100,1222670,english,worth it,True,0,0,0.5,1225,24,1780984216
227534156,1222670,english,Funny,True,0,0,0.5,924,7,1780973280
227533760,1222670,english,YES!!!Best game for mods ever!,True,0,0,0.5,48919,5,1780972663
227530740,1222670,english,I have been playing this game for awhile now and honestly its really fun! But to have the best experience on it I would suggest getting mods! But other than that its a blast and a truely fun game.,True,0,0,0.5,25042,1,1780968384
227530175,1222670,english,Game is very fun you can create your dream life with your partner and see where life goes in this game def recommend,True,0,0,0.5,236,3,1780967606
227529010,1222670,english,each time i play this i either kill or inprison sims. sombody needs to make a study on the type of players that play this game,True,0,0,0.5,1398,5,1780965978
227525019,1222670,english,"Although models are in general very ugly, still very satisfying to make characters you like. Hope they would add auto save function.",True,0,0,0.5,3856,2,1780960771
227524266,1222670,english,I love playing dolls with my Sims <3,True,0,0,0.5,14036,1,1780959814
227520761,1222670,english,,True,0,0,0.5,4354,9,1780955884
227519406,1222670,english,nice game,True,0,0,0.5,696,1,1780954438
227514827,1222670,english,muito top,True,0,0,0.5,710,2,1780950168
227511519,1222670,english,LOVE IT,True,0,0,0.5,59341,2,1780947268
227511463,1222670,english,funnnn but ea  buyout sux,True,0,0,0.5,417,4,1780947219
227509379,1222670,english,yes,True,0,0,0.5,192,5,1780945573
227508476,1222670,english,no,True,0,0,0.5,772,2,1780944782
227500571,1222670,english,a great sim game i love this so muchhhhhhhh,True,0,0,0.5,1126,1,1780938077
227487180,1222670,english,i love this game,True,0,0,0.5,1852,1,1780926048
227479831,1222670,english,relaxing and cozy!! love it!!,True,0,0,0.5,287,1,1780917900
227465211,1222670,english,"this is good game very definitly havvy funnying well play, jk its a good game if you wanna mek du,b lookin dudes",True,0,0,0.47413790225982666,1397,3,1780895519
227459852,1222670,english,im on this game often ever since my wife died i made a little house our children are buetiful orwoukd nbr fbnuuteiv9l; ifofnlnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,True,2,0,0.519841313362121582,21,16,1780887684
227458751,1222670,english,I think this game is really fun. I like making men pregnent in it.,True,1,0,0.525862038135528564,1490,1,1780886220
227457670,1222670,english,Real Life,True,0,0,0.5,32076,1,1780884819
227456232,1222670,english,cool amazing and fun,True,0,0,0.5,717,4,1780882880
227455316,1222670,english,dddd,True,1,0,0.52173912525177002,813,6,1780881668
227454151,1222670,english,Amazing!,True,0,0,0.5,2936,2,1780880190
227452995,1222670,english,erm good game?,True,1,0,0.52173912525177002,2435,2,1780878633
227451812,1222670,english,"This is my favorite game. I've had almost 500 hrs on this game. I love gameplay, I love the building aspect, I love create a sim. All of it.",True,0,0,0.5,28712,2,1780877061
227443498,1222670,english,its fun,True,0,0,0.5,37394,3,1780867897
227437876,1222670,english,i love this game,True,0,0,0.5,300625,1,1780862918
227436049,1222670,english,"i REALLY liked making my sims and building, however it is quite bland without mods. once you get the hang of it with building its super fun, especially decorating. and with mods you can do so much more with how you build, your sim's behavior, and SOOOO much more.",True,0,0,0.5,2845,1,1780861449
227436048,1222670,english,"What an incredible game! I played the first sims many years ago, and wanted the nostalgia of the build mode, but since it was tricky to get working on new computers, I gave Sims 4 a go and it has blown me away! The build mode is absolutely epic, and the gameplay has come on leaps and bounds. Highly recommended 5 stars!",True,0,0,0.5,5580,10,1780861448
227435715,1222670,english,hfghhfhhghhhghg,True,0,0,0.5,63988,1,1780861173
227432995,1222670,english,fun,True,0,0,0.5,33698,10,1780859060
