recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227631150,1222670,russian,"Это лучшая игра века, никакой детройт не сравнится с этим произведением искусства. Я рекомендую играть в нее, все 67 часов проигранных в ней были не зря!😊😊😊😊😊😊🥰🥰🥰🥰🥰🥰🥰😍😍😍😍😍😍🥵🥵🥵🥵🥵💜💜💜💜💜💜💜😍😍🥵🥵🥵😭😭😭🥰🥰😊😊😊🙂‍↕️🙂‍↕️🙂‍↕️🤣🤣😂😂😂😫😫😫🤤🤤🤤😝😝😝😒😒😒❤️❤️❤️💕😘😘💕💕😘💕😘😘💕💕💕",True,0,0,0.476190477609634399,5538,7,1781088231
227581657,1222670,russian,whicked whims WW,True,0,0,0.5,245,3,1781027333
227560316,1222670,russian,Sehr gute spiel und Realistisch,True,0,0,0.5,597,2,1781008513
227528664,1222670,russian,Какая же это ёбаная кукольная ♥♥♥♥♥ ♥♥♥♥♥ я строю дом три часа подбираю обои а мой сим петух решает сжечь плиту и умереть от смеха потому что разрабы пидоры заплатки не чинят говно дополнения стоят как крыло самолёта но ♥♥♥♥ когда я завожу этого идиота в бассейн убираю лестницу и смотрю как он тонет я ржу как конь ♥♥♥♥♥♥ это единственный кайф в этой деградантской песочнице игра ♥♥♥♥♥ но я в ней калбашу,True,1,0,0.5,1319,2,1780965537
227500137,1222670,russian,"в целом интересно, но с модами явно лучше",True,0,0,0.5,366,19,1780937717
227498665,1222670,russian,govno,True,0,0,0.476190477609634399,775,1,1780936480
227448350,1222670,russian,adams ♥♥♥♥ your mom,True,0,0,0.5,1917,3,1780872906
227436670,1222670,russian,купите мне наборы пж с квартирами,True,0,0,0.5,14748,1,1780861951
227431553,1222670,russian,"Сделала всё, всё что хотела сделать с одноклассниками, спасибо модам. Без модов смысла от базовой игры просто нету.",True,0,0,0.5,102,2,1780858012
227391133,1222670,russian,классная игра,True,0,0,0.5,1212,2,1780825037
227366507,1222670,russian,сИСЬКИ,True,0,0,0.5,409,8,1780795189
227334263,1222670,russian,крутая игра,True,0,0,0.5,304,2,1780765623
227306945,1222670,russian,писька,True,0,0,0.470588237047195435,1981,1,1780741980
227298073,1222670,russian,кароч игрушка если слишком скучно,True,0,0,0.5,1282,3,1780732374
227270205,1222670,russian,"Даже без покупки дополнений всегда есть чем заняться, но очень не хватает мебели...",True,0,0,0.5,1786,2,1780698411
227257172,1222670,russian,"иногда прикольно зайти, накатить модов и позалипать пару часов",True,0,0,0.5,342,18,1780686987
227248812,1222670,russian,"Симс это хорошо, моя девушка уже купила дом и построила семью, сына теперь зовут Дильжан",True,0,0,0.5,385,3,1780680136
