recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227612203,813780,russian,"Моя первая игра детства, теперь с улучшенной графикой и анимацией 10\10",True,0,0,0.5,227,17,1781062135
227500941,813780,russian,"Игра детства, люблю, уважаю, играю. спасибо разрабам что не спустили игру в помойку только дорого стоят длц это минус",True,0,0,0.5,20442,9,1780938380
227471496,813780,russian,игра всех времен и народов,True,0,1,0.5,4566,32,1780905641
227307666,813780,russian,Мне кажется я тут надолго,True,0,0,0.5,505,1,1780742799
227096492,813780,russian,"Лучше чем 4 версия однозначно, надо было ее с самого начала брать",True,0,0,0.5,802,25,1780503618
227035032,813780,russian,Лучшая RTS на сегодняшний день. Другие можно не покупать,True,0,0,0.5,550,48,1780426948
226615716,813780,russian,.,True,0,0,0.5,4745,1,1779966595
226588350,813780,russian,меня в 3тией игре сломал мой же тимейт )))!! 10 yf 10,True,2,0,0.541984736919403076,3344,2,1779926714
226408645,813780,russian,Меня ♥♥♥♥ и мне вс нравится!,True,0,0,0.5,7754,13,1779734416
226400788,813780,russian,"Классика жанра, такую игру не повторить",True,0,0,0.5,2117,8,1779728181
226154027,813780,russian,"Третья игра на ПК в которую я играл (первая была StarCraft, а вторая ха-ха CS), ну что сказать... прошло 27 лет, а мне до сих пор в кайф рубиться в эту великую стратегию. И даже не обязательно в сетевые матчи (хотя они конечно веселее) - игра с ботами тоже может отлично расслабить вас вечерком под бокал-другой вина. Словом, что говорить об игре, которая уже давным-давно стала легендой? В нее нужно играть!",True,0,0,0.5,110,68,1779469086
225950719,813780,russian,Любимая игра детства!,True,0,0,0.5,4011,1,1779227348
