recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227634069,949230,russian,"Поставил дамбу, и река затопила мой город! Теперь у моих жителей есть отличный аквапарк!",True,0,0,0.5,3936,7,1781092135
227474832,949230,russian,топ игра всем советаю,True,0,0,0.5,2335,2,1780910763
227271024,949230,russian,ргшпгшнщ,True,1,0,0.523809552192687988,1800,15,1780699227
227179892,949230,russian,"На само деле игра очень интересная и захватывающая. Последнее во что играл из градостроительных симуляторов - Simcity. В сравнении с ней, это просто небо и земля!!! Можно делать что угодно и как угодно. Однозначно рекомендую.",True,0,0,0.5,2465,5,1780599927
227105674,949230,russian,игра на пару минут,True,0,4,0.476190477609634399,61202,2,1780512172
227076522,949230,russian,Замечательный геймплей игры буквально оджно не ровное движение и ты погребен в яме долгов. Жители постояно чем то не довльны а сами как ебанаты ходят по улицам и ездиют как долбаебы. Рекоменду эту игру❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,True,0,0,0.5,2269,3,1780481973
226968774,949230,russian,"Уже играю давно, очень много наиграл на пиратке и вот основные моменты:  Оптимизация отсутствует, спустя 3 года игра ставит раком любые сборки, для меня уже здесь 30 фпс ощущаются как все 120 Моды, в отличие от первой части тут у них меньше функционала Баги и вылеты здесь наше все, без мода на анархию даже обычный город не построить из-за кривых хитбоксов Но графика хорошая, интересная проработка симуляции, именно этим и приманивает игра Советую ли купить? Наверное все таки да",True,0,0,0.5,3776,6,1780345665
226790586,949230,russian,It is a cool city builder but i really think that there are better city builders out there with more mechanics like ANNO or Tropica. But overall it is a pretty good sequel to the first game and i do think that it needs more content (free updates paradox not dlc's) like the first game had,True,0,0,0.5,2316,13,1780157333
226773236,949230,russian,"Значительно лучше, чем на релизе. Игра уже не кажется сырой, ощущается вполне достойно. Присутствуют баги, но их уже намного меньше. Хочется добавления новых механик",True,1,0,0.5,4474,2,1780142798
226762466,949230,russian,ja,True,0,0,0.5,1536,7,1780131575
226756693,949230,russian,ыпяварчапо,True,0,0,0.5,2912,2,1780124362
