recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227644307,570,english,j,True,0,0,0.5,92364,1,1781102989
227639598,570,english,this game is sooooooo coolllllll,True,0,0,0.5,302,2,1781098450
227637536,570,english,2000 saat sonra anladim ki giden bir omur.,True,0,0,0.5,126422,1,1781096197
227636547,570,english,"the best game, in my computer",True,0,0,0.5,185331,1,1781095036
227635676,570,english,https://www.youtube.com/watch?v=L1p019wVrog,True,0,0,0.5,2703,6,1781094055
227635338,570,english,-,True,0,0,0.5,380301,1,1781093638
227634617,570,english,ewaeqwwe,True,1,0,0.523809552192687988,14400,1,1781092807
227628260,570,english,GOAT,True,1,0,0.523809552192687988,524,2,1781084863
227628114,570,english,"Dota 2 - игра, которая одновременно является бесплатной, но стоит тебе жизни, психики, отношений, сна и, иногда, клавиатуры  Я начал играть в доту как человек. У меня были цели, амбиции, друзья, нормальный режим сна и вера в человечество.  Сейчас у меня осталась только ненависть к туману войны и привычка проверять миникарту даже когда я смотрю порно.   ПЕРВОЕ ЗНАКОМСТВО  Я помню свой первый матч.  Меня встретили 9 человек, которые уже явно закончили минимум по три университета по токсичности, психологии давления и искусству унижения новичков.  Я выбрал героя, нажал “рандом”, и игра сказала: «Поздравляем, ты теперь саппорт без понимания, что ты саппорт».  Мой керри написал:   “удали игру уёбок”   Я ещё не знал, что это не совет. Это была философия.   ОБУЧЕНИЕ  Обучение в доту это когда тебе объясняют, как играть, а потом бросают в лес, как ребёнка в экономику.  «Купи варды»  Купил варды  Поставил варды  Умер, потому что поставил варды  Керри: “репорт уёбку на саппе”   Логика ясна. Варды нужны, чтобы ты видел момент своей смерти в пиздатом качестве.   РАНГОВАЯ СИСТЕМА  ММР - это не рейтинг.  Это психологический эксперимент валв над тем, как долго человек может верить, что он поднимется, прежде чем начнёт пикать пуджа из принципа.  Каждый матч - это:  Один человек, который играет как TI победитель  Один человек, который только что проснулся  Один человек, который играет ногами  И я, который пытается понять, почему мы все в одной команде   ГЕЙМПЛЕЙ  Dota 2 - это единственная игра, где:  ты можешь выиграть 45 минут  и проиграть за 7 секунд, потому что кто-то пошёл бить древних без байбека, трезвости и совести   Каждая драка выглядит так:  1. Кто-то кричит «го выебем их ща»   2. Половина команды не готова   3. Вторая половина уже умерла   4. Я нажимаю телепорт на таверну, которого уже нет   СОЮЗНИКИ  Союзники в доте - это не команда.  Это 4 незнакомца, объединённые только общей болью и отсутствием взаимопонимания.  Типы союзников:  Мидер: «Я смурф даблите» → 0/5 на 6-й минуте  Керри: фармит лес, пока несут трон  Саппорт: купил варды один раз и теперь философ  Оффлейнер: ушёл в лес, потому что  захотел   ВРАГИ  Враги всегда:  знают тайминги  читают карту  любят тебя  особенно когда ты на 10 HP и без телепорта   ОБЩЕНИЕ  Чат в доте — это место, где:  советы выглядят как угрозы  угрозы выглядят как религия  и каждый второй — будущий участник судебного разбирательства, если бы валв добавила суд   ПОБЕДЫ  Иногда ты выигрываешь.  Это происходит случайно, примерно как найти деньги в старой куртке.  Ты не понимаешь почему победил, команда не понимает почему победила, и никто не чувствует, что это заслуженно.   ПОРАЖЕНИЯ  Поражения — это не конец.  Это начало следующего матча, где ты уже морально сломан, но всё равно жмёшь поиск, потому что мозг уже подписал контракт с зависимостью.   ИТОГ  Dota 2 - это не игра.  Это:  психологический тренинг  симулятор коллективной ответственности без ответственности  школа терпения, злости и принятия неизбежного  и единственное место, где фраза “gg ez” звучит как объявление войны   Рекомендую.  Не потому что хорошая игра, а потому что уже поздно её удалять",True,3,1,0.519999980926513672,209735,3,1781084646
227627209,570,english,good,True,0,0,0.5,385595,1,1781083394
