recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227646259,570,russian,♥♥♥♥♥),True,0,0,0.5,272,3,1781104708
227646249,570,russian,"Зашел , обоссали , наорали , вышел .",True,0,0,0.5,1008,4,1781104696
227646123,570,russian,"Ничего не понял, 10/10",True,0,0,0.5,193,5,1781104582
227646101,570,russian,᠌ ᠌᠌ ᠌ ᠌ ᠌ ᠌ ᠌,True,0,0,0.5,601911,1,1781104560
227645959,570,russian,"после запуска у меня ушла мама, но пришел еще один отец",True,0,0,0.5,4026,1,1781104434
227645920,570,russian,для моих отцов пойдет,True,0,0,0.5,827,6,1781104401
227645685,570,russian,yhhvv,True,0,0,0.5,1401,2,1781104189
227645617,570,russian,норм игра,True,0,0,0.5,2319,4,1781104124
227645309,570,russian,шейкер пиздит скалкой   не круто(((,True,0,0,0.5,18752,4,1781103863
227645057,570,russian,да,True,0,0,0.5,36247,5,1781103650
227645045,570,russian,"Хорошая игра, не давно узнал, кто мои родители",True,0,0,0.5,5039,1,1781103638
227644726,570,russian,67,True,0,0,0.5,342173,4,1781103357
227644242,570,russian,"Какие-то птички пиксельные летают, плюют в каких-то гоблинов, сидит лоб под 100 кг усатый этим всем управляет c серьезным лицом будто комбайном на поле.  Чел, ты нормальный? Ты как жить дальше собираешься?  На пенсии внукам рассказывать как ты мультяшный синий пузырь надул над пятерыми врагами за войда?",True,0,0,0.5,287552,85,1781102931
227643819,570,russian,мне жаль себя,True,0,0,0.5,4400,1,1781102544
227643418,570,russian,привет как дела,True,0,0,0.5,6421,1,1781102184
227643310,570,russian,За 500 часов я так и не понял какого ♥♥♥ у вд так ♥♥♥♥♥ дамага,True,0,0,0.5,34641,8,1781102081
227643291,570,russian,67 гигов?,True,0,0,0.5,46,6,1781102067
227642628,570,russian,Отличная игра благодаря ей начал спать с мужчинами,True,0,0,0.5,75541,1,1781101421
227641649,570,russian,"залупа ♥♥♥♥♥♥ никому не советую,после скачивания появилось 10 отцов",True,0,0,0.5,59872,1,1781100547
227641593,570,russian,за 60 часов я понял что это игра создана дьяволом или сфом как я её запустил пришла повезка в детдом а как да я тут а ехал увидел на трасе маму  человека который постоянно ливает с катки именно в моей команте я найду тебя,True,0,0,0.5,4084,1,1781100496
227641485,570,russian,No,True,0,0,0.5,675,7,1781100382
227641015,570,russian,бурмалда   надо просто сойти сума и посмотреть токийский гуль   #серега пират #пудж #67  бурмалда,True,1,0,0.523809552192687988,31501,3,1781099894
227640724,570,russian,хахахах,True,0,0,0.5,944,9,1781099591
227640365,570,russian,игра для любителей голубых мальчиков,True,0,0,0.5,952,3,1781099228
227640097,570,russian,мне понравилось ка по мне топ,True,0,1,0.5,494,2,1781098970
227640031,570,russian,весело,True,0,0,0.5,22946,1,1781098897
227639753,570,russian,тракса вайб игра говно,True,0,1,0.5,26985,1,1781098603
227639627,570,russian,хайп,True,1,0,0.523809552192687988,50420,1,1781098484
227639605,570,russian,/,True,0,0,0.5,288,9,1781098454
227639140,570,russian,не играйте пж,True,0,0,0.5,721,2,1781097917
227638964,570,russian,♥♥♥♥♥ полная,True,0,0,0.5,2395,1,1781097748
227638494,570,russian,СМСМСМ,True,0,0,0.5,7864,2,1781097249
227638338,570,russian,Говно я полено,True,0,0,0.5,56824,1,1781097086
227637828,570,russian,да хз вроде нормас все круто,True,0,0,0.5,26900,1,1781096534
227637548,570,russian,♥♥♥♥♥♥ ♥♥♥♥♥ фу говно ♥♥♥♥,True,0,0,0.5,3323,4,1781096218
227636810,570,russian,/,True,0,0,0.5,17111,28,1781095330
227636745,570,russian,Ы,True,0,1,0.5,363,3,1781095256
227636319,570,russian,dddd,True,0,0,0.5,49781,2,1781094763
227636318,570,russian,Норм игра ни один кил не сделал но игра норм,True,0,0,0.5,197,3,1781094762
227636243,570,russian,"ПОЙмитеКТОвы и осознайте КТО ПОЙмет    Безусловно это лучшее творение которое только могло быть придуманым человечеством. В этой чудесной игре вы не только найдете друзей, а еще и встретите свою настоящую семью. Вы запомните ВРЕМЯ проведенное в этой увликательной и развивающиейся игре, как самое СНОГШИБАТЕЛЬНОЕ что могло с вами случиться. А так же вы узнаете ответ на самый главный вопрос ""Откуда у вас руки?"" и ""Чем занималась ваша мать вчера вечером?"".     Надеюсь вы не потеряете голову среди разнообразия персонажей, которые содержаться в этой изумительной игре. Постарайтесь не ошибиться с выбором герой, иначе с вами могут случиться непоправимые вещи.     ПРЕДУПРЕЖДЕНИЕ: Если вдруг во время игры вам станет плохо, врач не входит в бесплатныый контент игры, а так же все риски за ваше здоровье данная компания за собой не несет.    Возможные последствия: В зависимости от проведенного времени в игре у вас будет меняться поведение, сперва вы узнаете новые для себя слова и формулировки по типу ""Киси-киси-мяу-мяу, Киси-киси-мяу-мяу"", а затем они войдут в привычный образ жизни и вы станите неповторимой киберг машиней убицей всех крипотеров и уничтожителем вражеских концернов.",True,0,0,0.5,22739,2,1781094684
227636140,570,russian,а,True,0,0,0.5,218396,1,1781094596
227635992,570,russian,не играйте в эту залупу,True,0,0,0.5,21677,1,1781094424
227635353,570,russian,ну вроде норм,True,0,0,0.5,40831,1,1781093658
227635092,570,russian,lf,True,0,0,0.5,198,2,1781093353
227635070,570,russian,лучший игра в этот мир только 2 отец пришел и дал нам в жопа а так игра хороший,True,0,0,0.5,105,3,1781093327
227634832,570,russian,Найс игра,True,1,0,0.523809552192687988,70653,1,1781093069
227634260,570,russian,ойын жаман мен оны ойнауға кеңес бермеймін Алла бұл парашаны ойнауға тыйым салды,True,0,0,0.5,139578,3,1781092377
227634236,570,russian,fdsf,True,0,0,0.5,11293,1,1781092353
227634161,570,russian,Не каждый кто является пидорасом играет в доту но каждый кто играет в доту пидорас,True,0,0,0.5,7363,1,1781092266
227633923,570,russian,"игра имба, у меня теперь 67 отчимов   ^-^",True,0,0,0.5,9674,2,1781091983
227633850,570,russian,Даже не думай...,True,0,0,0.5,150459,2,1781091883
227633430,570,russian,Доту увидел еще давно в 23 но когда первый раз попробовал мне не понравилось а сейчас я решил ее скачать заново и разобраться в механиках и она мне понравилась,True,0,0,0.5,621,4,1781091321
227633402,570,russian,жопа,True,0,0,0.5,126830,1,1781091289
227633397,570,russian,Чётко,True,0,0,0.5,108945,1,1781091281
227633088,570,russian,ну и ♥♥♥♥♥,True,0,0,0.5,42273,1,1781090868
227632755,570,russian,Игра офигеная в школе  отпинали ногами  и 2 отца появилось всем советую !!!,True,0,0,0.5,8,4,1781090444
227632604,570,russian,igra dlya pedikov    8===========D,True,0,0,0.5,19647,1,1781090255
227632552,570,russian,игра для геев мне нравится,True,0,0,0.5,2027,1,1781090178
227632527,570,russian,.,True,0,0,0.5,92371,2,1781090154
227632373,570,russian,билет в психушку,True,0,0,0.5,21186,2,1781089942
227632120,570,russian,nice,True,0,0,0.5,1250,2,1781089572
227632076,570,russian,хуйнйййя,True,0,0,0.5,3740,1,1781089522
227632021,570,russian,"chess in 2026,",True,1,0,0.512195110321044922,32962,3,1781089437
227631699,570,russian,"после первой игры в рейтинге от меня отвернулись друзья, ушла девушка, умер отец, пропала собака и сдохла кошка. минусов не вижу, классный интерфейс, только с жанрами немножко напутано ведь заходя в выбор персонажей начинается самый страшный хоррор, всем кто скачал советую консультацию у психотерапевта а тем кто еще в раздумьях советую все таки нажать на курок. всем добра бобра.....",True,0,0,0.5,72845,2,1781089006
227631414,570,russian,круто,True,0,0,0.5,729,19,1781088592
227631252,570,russian,"в 2004 начал и никак бросить не могу. Затягивает, братцы.",True,0,0,0.5,1093,1,1781088368
227630844,570,russian,игра хуеты если не порекомендую эту игру то не разкажу какие ублюдки ♥♥♥♥♥♥ в эту ♥♥♥♥♥ играют только для уебков конченых больних + аутистов игра догонялки онлайн ♥♥♥♥,True,0,0,0.5,11463,2,1781087758
227630769,570,russian,игра крутая из минусов тут нельзя заниматься любовью между персонажами а так топ,True,0,0,0.5,23652,1,1781087657
227630631,570,russian,узнал кто моя мать,True,0,0,0.5,734,2,1781087453
227630382,570,russian,Охуенно,True,1,0,0.523809552192687988,79236,1,1781087171
