recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227683846,1943950,english,ENDLESS HELP ME I CANT ESCAPE,True,0,0,0.5,269,3,1781141332
227682375,1943950,english,♥♥♥ u rad,True,0,0,0.5,475,9,1781140410
227682155,1943950,english,very fun for horror guy ONLY if u like jump sacares and high chase game,True,0,0,0.5,1165,2,1781140071
227682021,1943950,english,good fun,True,0,0,0.5,402,8,1781139907
227681753,1943950,english,do it p*s*y,True,0,0,0.5,337,15,1781139536
227681202,1943950,english,its fun,True,0,0,0.5,1146,2,1781138753
227681114,1943950,english,gdyu9sgbcvu90svojs,True,0,0,0.5,823,9,1781138620
227680793,1943950,english,very good,True,0,0,0.5,214,2,1781138214
227680637,1943950,english,"Some parts are scary at first but otherwise it's a pretty fun game. Some of the puzzles were a little confusing but I'd highly recommend playing with friends, that definitely makes this game so much more fun.",True,0,0,0.5,349,1,1781138006
227680620,1943950,english,peak dont get why ppl hate on this game sometimes,True,0,0,0.5,2404,4,1781137988
227680574,1943950,english,its good,True,0,0,0.5,694,13,1781137933
227680554,1943950,english,cheeburber,True,0,0,0.5,1023,6,1781137902
227680475,1943950,english,"very fun, played until 3:30am with 3 of my friends. the boiled room is very excruciating and time wasting. i almost ripped my hair out because of it. ummm, and yeah its pretty fun make sure you have friends",True,0,0,0.5,417,1,1781137785
227680462,1943950,english,good game,True,0,0,0.5,973,13,1781137762
227680361,1943950,english,good,True,0,0,0.5,1123,1,1781137613
227680139,1943950,english,SON i pooped my pants so bad when i played level 67 it was so scary 67 67 67 67 67,True,0,0,0.5,311,1,1781137352
227679935,1943950,english,good game. I hate the dog level...,True,0,0,0.5,1230,1,1781137106
227679727,1943950,english,This game is so un imaginably fun not even words can describe it especially with friends 100% recommand,True,0,0,0.5,3599,2,1781136795
227679366,1943950,english,very fun,True,0,0,0.5,838,1,1781136299
227679132,1943950,english,Upsides (very fun) (lot of levels)  downsides (if you die you cant go back to get your items so i lost like all my stuff and had to restart entire run),True,0,0,0.5,569,1,1781135999
227679026,1943950,english,ABSOLUTE CINEMA !!! especially if with friends omg,True,0,0,0.5,922,2,1781135857
227678848,1943950,english,good ig,True,0,0,0.5,721,5,1781135651
227678761,1943950,english,Lore accurate,True,0,0,0.5,871,8,1781135532
227678560,1943950,english,ooooo backrooms spookyyy oooo scary oooooo,True,0,0,0.5,851,5,1781135229
227677619,1943950,english,"This game is very fun especially with friends, the only bug that i really do not like is when i spectate it sometimes stops working",True,0,0,0.5,337,26,1781134046
227676540,1943950,english,nice,True,0,0,0.5,188,1,1781132638
227676020,1943950,english,really nice with friends,True,0,0,0.5,371,12,1781131989
227675926,1943950,english,"Very good game, turn graphics low",True,0,0,0.5,1359,2,1781131904
227675623,1943950,english,Great game overall.,True,0,0,0.5,1427,2,1781131631
227675573,1943950,english,fireee,True,0,0,0.5,1349,1,1781131576
227675394,1943950,english,"good game, especially with friends.",True,0,0,0.5,391,1,1781131367
227674974,1943950,english,This game is so much fun with friends,True,0,0,0.5,663,1,1781130833
227674493,1943950,english,so sigma,True,0,0,0.5,92,8,1781130300
227674328,1943950,english,"this game is AWESOME is play it like every day the graphics are so good, its scary and the monsters are so realistic. it feels like you're actully in the backrooms playing this!",True,0,0,0.5,200,1,1781130109
227673397,1943950,english,10/10 very fun with full squad,True,0,0,0.5,650,15,1781129024
227673317,1943950,english,game of the summer.,True,0,0,0.5,446,2,1781128942
227672823,1943950,english,wow,True,0,0,0.5,347,27,1781128407
227671988,1943950,english,"This is so scary, I felt like a baby",True,0,0,0.5,444,2,1781127487
227671974,1943950,english,"great game, funny with friends",True,0,0,0.5,241,2,1781127466
227671506,1943950,english,"IDk, Its fun 1/10 stars",True,0,0,0.5,6452,11,1781126990
227671503,1943950,english,backroom go funny haha,True,0,0,0.5,431,25,1781126987
227671143,1943950,english,Peak friendslop,True,0,0,0.5,593,7,1781126728
227671088,1943950,english,VERY GOOD GAME I LOVE IT,True,0,0,0.5,553,2,1781126670
227670292,1943950,english,funniest game ive ever played,True,0,0,0.5,388,1,1781126040
227670215,1943950,english,its good,True,0,0,0.5,282,4,1781125961
