recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227572985,1169040,russian,"безумно крутая пиксельная игрулька, объединение римворлда + террарии (больше террарии). прикольные сеты/оружки. боссы интересные, в меру сложные. поселение хорошо реализовано, было интересно настраивать всю автоматизацию и делать хаты своим чувакам, чувствовалась жизнь от этого. из минусов лично для меня: 1. довольно короткий эндгейм, хоть и гриндить там нужно больше всего, но будто бы весь потенциал не реализован его. 2. верхний мир хоть и напичкан отсылками на другие игры, деревнями и нпсами, но после нахождения биомов (коих всего 5), пары деревень, данжа и пиратской темы путешествовать по миру больше не зачем, хотелось бы чтобы там было по более контента. 3. взаимодействия с поселением, да хоть я и написал то что поселение хорошо реализовано, но не идеально, функционал с ним хоть и довольно интересный, но довольно короткий и опять же, если всё настроить (что не очень долго), то кроме как одевать своих челов в топочки и пампить золото, делать с ним больше нечего (кроме построения красивых домиков), для одной из основных механик игры будто бы маловато игра хорошая, советую, на неделю сожрало с кайфом лютым, игра к тому же ещё и обновляется часто, так что дальше больше, может и покроет мои минусы оценка - 8.5/10",True,0,0,0.5,5012,10,1781020029
227566044,1169040,russian,норм,True,0,0,0.5,623,9,1781014259
227435237,1169040,russian,Мне очень понравилась игра,True,0,0,0.5,1027,2,1780860769
227113727,1169040,russian,Насосал,True,0,0,0.5,416,7,1780519906
227109573,1169040,russian,топ,True,0,0,0.5,4890,4,1780515960
227073974,1169040,russian,Для расслабона,True,1,0,0.517241418361663818,1386,7,1780478170
227026196,1169040,russian,нравиться когда в песочнице можно заниматься ну пряяяяяяяяяям всякой всячиной,True,0,0,0.5,509,7,1780419180
226702843,1169040,russian,"найс игруля, копия террарии , римворлд, стардев валей, дед селс. В большей части именно террарию, даже названия ачивок сплагиатили! А так, игра довольно увлекательна, боссы сложнее чем на инфернум",True,0,0,0.5,1439,5,1780066618
226645680,1169040,russian,круто но добавьте сакуры,True,1,0,0.523809552192687988,2170,7,1779996124
226612609,1169040,russian,.,True,1,0,0.523809552192687988,432,25,1779962345
226574724,1169040,russian,да,True,0,0,0.5,38,12,1779912056
226557630,1169040,russian,"Брал её 3 года назад, и тогда она мне ппц не понравилась. После, спустя три года, у меня сломался ноут, и не имея особо выбора на старом пк, я решил поиграть в неё. И поменял своё мнение об этой игре.",True,0,0,0.5,5947,57,1779896664
226554924,1169040,russian,вроде чотинька,True,0,0,0.5,995,7,1779894145
226544475,1169040,russian,"Классная игра и она очень офигенно развивается иногда кажется что чего-то не хватает, но всё равно 10 из 10 спасибо разработчикам, что развиваете игру!",True,2,0,0.529234945774078369,1800,44,1779883191
226483653,1169040,russian,"10 ♥♥♥♥ из 10 магов, 10 из 10 призывателей, 10 из 10 пивных танков с мечом на перевес и наконец 4 из 10 гринда миллиарда руды.",True,0,1,0.5,1450,14,1779819706
226462557,1169040,russian,меня убивают когда хочу добыть древние осколки,True,0,0,0.523809552192687988,595,1,1779800253
226393251,1169040,russian,Мини-трумбо зачёт),True,0,0,0.5,2777,21,1779721995
226377577,1169040,russian,WOw!,True,0,0,0.5,35,25,1779705438
