recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227683339,252490,english,SUPER FUN GAME!!!!!!!!!!!!! I LOVE RUST !!!!!!!!!!! ITS SO FUN!!!!!!!!!!!!! PLAY SOLO!!!!!!!!!!!!! SO FUN!!!!!!!!!!!!!,True,0,0,0.5,43137,1,1781140766
227683302,252490,english,only bad thing not very optimised,True,0,0,0.5,298,4,1781140734
227682197,252490,english,fun game,True,0,0,0.5,101576,1,1781140143
227682024,252490,english,w game,True,1,0,0.523809552192687988,9472,1,1781139911
227681615,252490,english,kkk,True,0,0,0.5,4402,1,1781139349
227681489,252490,english,yes,True,0,0,0.5,12710,2,1781139163
227681105,252490,english,Best game,True,0,0,0.5,32155,1,1781138609
227680926,252490,english,This game is terrible.  I love it.,True,0,0,0.5,67114,5,1781138374
227680848,252490,english,ITS ME AND MY cousin play,True,0,0,0.5,612,1,1781138273
227680679,252490,english,its good,True,0,0,0.5,2027,2,1781138058
227679872,252490,english,Who is actually stupid enough to play this game?,True,0,0,0.5,16879,5,1781137011
227679518,252490,english,Played a lot of rust on console loved the game on xbox really excited to play on pc. Looking for people to play with i dont mind if your new like me. Comment on my profile to play or add me as friend,True,0,0,0.5,71,2,1781136494
227677794,252490,english,this is so addicting,True,0,0,0.5,35459,1,1781134256
227676936,252490,english,this game makes me want to skin my balls,True,0,0,0.5,21404,2,1781133131
227676763,252490,english,good game.,True,0,0,0.5,927,2,1781132893
227676742,252490,english,This game is ♥♥♥♥.    Ngas are so deep but so ass but sense they are so deep they have so many guns just because of numbers not because their good or anything but because they are so deep. There is like 8 of them just raping my ♥♥♥♥ at Oxum's and I cant do a thing. Hitler would not allow this.,True,0,0,0.5,17770,4,1781132863
227676096,252490,english,Never punched my monitor so hard in my life until today now its time to look for a new one,True,0,0,0.5,10448,6,1781132080
227675184,252490,english,Fun! but very frustrating get ready to die!,True,0,0,0.5,224,2,1781131096
227674958,252490,english,ушел посрать зарейдили копьями,True,0,0,0.5,4751,5,1781130815
227674855,252490,english,this game has added so many useful words to my vocabulary,True,0,0,0.5,15804,1,1781130704
227674809,252490,english,always keeps you on updates are often and all the pepole  are cool and is just a great game,True,0,1,0.5,13718,4,1781130660
227674439,252490,english,This is in my opinion the best game but it is challenging,True,0,0,0.5,32562,1,1781130224
227674242,252490,english,GOOD,True,0,0,0.5,2524,2,1781129989
