recommendationid,appid,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_forever,num_reviews,timestamp_created
227646455,252490,russian,10 из 0,True,0,0,0.5,11995,2,1781104899
227646107,252490,russian,да я ♥♥♥♥♥♥ и жертва скидок,True,0,0,0.5,14877,2,1781104567
227645853,252490,russian,бомба пуушка игра только ебанные китайцы зарейдилли,True,0,0,0.5,10511,1,1781104332
227645787,252490,russian,круто,True,0,0,0.5,31017,6,1781104276
227645780,252490,russian,ахуенно,True,0,0,0.5,1125,7,1781104270
227645646,252490,russian,♥♥♥♥♥♥ мусор,True,0,0,0.5,89320,2,1781104144
227645487,252490,russian,хайп,True,0,0,0.5,611,6,1781104001
227643873,252490,russian,прикольно но пока что сложно,True,0,0,0.5,980,3,1781102595
227642648,252490,russian,имба 67,True,0,0,0.5,7908,2,1781101436
227642641,252490,russian,игра топ но когда отошел пописать пришел а уже хаты нету,True,0,0,0.5,5805,1,1781101432
227642167,252490,russian,ЗАШЕЛ ПОСТРОИЛ ДОМ ПРИШЛИ КАКИЕ ТО ЛЮДИ И СКАЗАЛИ АЛАХ БАБАХ И ВЗОРВАЛИ МЕНЯ,True,0,0,0.5,42780,2,1781101025
227641546,252490,russian,кал,True,1,0,0.523809552192687988,28893,1,1781100447
227640351,252490,russian,gooood,True,1,0,0.52173912525177002,1281,10,1781099214
227640058,252490,russian,что делать если раст показывает не купленом если я его покупал,True,0,0,0.5,8590,1,1781098930
227639915,252490,russian,ыва,True,0,0,0.5,7858,1,1781098793
227639702,252490,russian,спать хочу а так прикольно,True,0,0,0.5,59246,2,1781098556
227639407,252490,russian,ю,True,0,0,0.5,25166,3,1781098223
227639274,252490,russian,отошел в на 5 минут попить чай прихожу дома нет (зарейдили) ♥♥♥♥♥♥ какая крутая игра,True,0,0,0.5,32733,1,1781098084
227639146,252490,russian,"♥♥♥♥♥♥♥ говнище,ехали сквадом на рейд,убили бомжи с элеркой,забрали ракеты и сишки,но фармила молодец,отвоевал хотть что то из ящиков.♥♥♥♥ я эту игру",True,0,1,0.5,3981,14,1781097927
